Unnamed: 0,DET,MIA
First Downs,15,27
Rush-Yds-TDs,19-51-2,41-182-3
Cmp-Att-Yd-TD-INT,17-36-220-1-1,18-27-207-3-0
Sacked-Yards,3-14,0-0
Net Pass Yards,206,207
Total Yards,257,389
Fumbles-Lost,2-1,2-0
Turnovers,2,0
Penalties-Yards,6-68,4-54
Third Down Conv.,7-14,6-12
Fourth Down Conv.,0-1,1-1
Time of Possession,25:36,34:24
