Unnamed: 0,PHI,DEN
First Downs,22,17
Rush-Yds-TDs,39-216-0,18-96-1
Cmp-Att-Yd-TD-INT,16-23-178-2-1,22-36-226-0-0
Sacked-Yards,2-8,1-14
Net Pass Yards,170,212
Total Yards,386,308
Fumbles-Lost,2-0,2-1
Turnovers,1,1
Penalties-Yards,7-89,4-29
Third Down Conv.,6-13,1-11
Fourth Down Conv.,0-0,0-2
Time of Possession,34:58,25:02
