Quarter,Time,Tm,Detail,PHI,DEN
1.0,10:13,Eagles,Jake Elliott 30 yard field goal,3,0
,3:16,Eagles,DeVonta Smith 36 yard pass from Jalen Hurts (Jake Elliott kick),10,0
2.0,13:38,Broncos,Melvin Gordon 1 yard rush (Brandon McManus kick),10,7
,9:39,Broncos,Brandon McManus 21 yard field goal,10,10
,3:07,Eagles,DeVonta Smith 5 yard pass from Jalen Hurts (Jake Elliott kick),17,10
,0:05,Eagles,Jake Elliott 52 yard field goal,20,10
3.0,4:51,Broncos,Brandon McManus 28 yard field goal,20,13
,0:00,Eagles,Darius Slay 83 yard fumble return (Jake Elliott kick),27,13
4.0,7:36,Eagles,Jake Elliott 23 yard field goal,30,13
