Unnamed: 0,STL,ARI
First Downs,16,21
Rush-Yds-TDs,22-70-1,22-28-1
Cmp-Att-Yd-TD-INT,17-30-216-1-2,28-41-326-1-1
Sacked-Yards,6-42,3-19
Net Pass Yards,174,307
Total Yards,244,335
Fumbles-Lost,1-1,1-0
Turnovers,3,1
Penalties-Yards,8-80,5-35
Third Down Conv.,1-10,6-15
Fourth Down Conv.,1-2,0-0
Time of Possession,26:40,33:20
