Quarter,Time,Down,ToGo,Location,ATL,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Matthew Bosher kicks off 69 yards, muffed catch by Mike Thomas, recovered by Paul Worrilow and returned for no gain",0.000,6.510
1,14:56,1,3,LAR 3,6,0,"Matt Ryan pass complete short left to Justin Hardy for 3 yards, touchdown",6.510,7.000
1,14:50,,,LAR 15,7,0,Matt Bryant kicks extra point good,0.000,0.000
1,14:50,,,ATL 35,7,0,"Matthew Bosher kicks off 61 yards, returned by Mike Thomas for 20 yards (tackle by Joshua Perkins)",0.000,-0.540
1,14:43,1,10,LAR 24,7,0,Jared Goff pass incomplete short right intended for Tavon Austin (defended by Robert Alford),0.540,0.000
1,14:38,2,10,LAR 24,7,0,Jared Goff pass complete short left to Todd Gurley for 12 yards (tackle by Deion Jones and Jalen Collins),0.000,1.330
1,13:53,1,10,LAR 36,7,0,Todd Gurley middle for 6 yards (tackle by Jonathan Babineaux),1.330,1.600
1,13:13,2,4,LAR 42,7,0,Jared Goff pass complete short right to Tavon Austin for 12 yards,1.600,2.520
1,12:39,1,10,ATL 46,7,0,Tavon Austin for 23 yards (tackle by Ricardo Allen),2.520,4.040
1,11:55,1,10,ATL 23,7,0,Todd Gurley left guard for 5 yards (tackle by Brooks Reed and Keanu Neal),4.040,4.210
1,11:08,2,5,ATL 18,7,0,Todd Gurley right guard for 2 yards (tackle by Grady Jarrett),4.210,3.850
1,10:23,3,3,ATL 16,7,0,Jared Goff pass incomplete short right intended for Kenny Britt is intercepted by Ricardo Allen at ATL-7 and returned for 3 yards,3.850,0.380
1,10:15,1,10,ATL 10,7,0,Matt Ryan pass incomplete short middle intended for Devonta Freeman,-0.380,-0.780
1,10:10,2,10,ATL 10,7,0,Devonta Freeman right end for no gain (tackle by Maurice Alexander),-0.780,-1.420
1,9:27,3,10,ATL 10,7,0,Matt Ryan pass incomplete short right intended for Taylor Gabriel,-1.420,-2.490
1,9:21,4,10,ATL 10,7,0,"Matthew Bosher punts 52 yards, returned by Tavon Austin for 5 yards (tackle by C.J. Goodwin)",-2.490,-1.800
1,9:05,1,10,LAR 43,7,0,Jared Goff pass incomplete short left intended for Tavon Austin (defended by De'Vondre Campbell),1.800,1.250
1,8:59,2,10,LAR 43,7,0,Jared Goff pass complete short right to Tavon Austin for 6 yards (tackle by Brian Poole),1.250,1.350
1,8:28,3,4,LAR 49,7,0,Jared Goff pass complete short left to Kenny Britt for 2 yards (tackle by Jalen Collins),1.350,0.000
1,7:44,4,2,ATL 49,7,0,"Johnny Hekker punts 34 yards, out of bounds",0.000,0.220
1,7:38,1,10,ATL 15,7,0,Matt Ryan pass complete short right to Nick Williams for 12 yards (tackle by Dominique Easley),-0.220,0.740
1,6:59,1,10,ATL 27,7,0,Tevin Coleman left tackle for no gain (tackle by Dominique Easley),0.740,0.200
1,6:18,2,10,ATL 27,7,0,Taylor Gabriel right end for no gain (tackle by Mike Jordan),0.200,-0.490
1,5:33,3,10,ATL 27,7,0,Matt Ryan pass complete short right to Devonta Freeman for 9 yards (tackle by Dominique Easley),-0.490,-0.980
1,4:47,4,1,ATL 36,7,0,"Matthew Bosher punts 53 yards, returned by Tavon Austin for 25 yards (tackle by Levine Toilolo). Penalty on Paul Worrilow: Offensive Holding, 10 yards",-0.980,-1.990
1,4:31,1,10,LAR 46,7,0,Todd Gurley middle for 2 yards (tackle by Ricardo Allen),1.990,1.720
1,3:58,2,8,LAR 48,7,0,Jared Goff sacked by Vic Beasley for -6 yards,1.720,0.230
1,3:12,3,14,LAR 42,7,0,Jared Goff pass incomplete short right intended for Tyler Higbee,0.230,-0.590
1,3:06,4,14,LAR 42,7,0,"Johnny Hekker punts 46 yards, fair catch by Eric Weems",-0.590,0.350
1,2:58,1,10,ATL 12,7,0,Matt Ryan pass complete short right to Taylor Gabriel for 11 yards,-0.350,0.480
1,2:35,1,10,ATL 23,7,0,Devonta Freeman left tackle for 1 yard (tackle by William Hayes),0.480,0.070
1,2:14,2,9,ATL 24,7,0,Matt Ryan pass complete deep left to Aldrick Robinson for 25 yards (tackle by Mike Jordan),0.070,2.190
1,1:53,1,10,ATL 49,7,0,Matt Ryan pass incomplete short right intended for Aldrick Robinson,2.190,1.650
1,1:49,2,10,ATL 49,7,0,Tevin Coleman right tackle for 5 yards (tackle by William Hayes and Alec Ogletree),1.650,1.620
1,1:07,3,5,LAR 46,7,0,Matt Ryan pass complete short left to Nick Williams for 8 yards (tackle by Maurice Alexander),1.620,3.050
1,0:25,1,10,LAR 38,7,0,"Matt Ryan pass complete short right to Levine Toilolo for 19 yards (tackle by T.J. McDonald). Penalty on Matt Longacre: Roughing the Passer, 10 yards",3.050,5.140
1,0:06,1,9,LAR 9,7,0,Tevin Coleman right end for 3 yards (tackle by Trumaine Johnson),5.140,4.950
Quarter,Time,Down,ToGo,Location,ATL,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,LAR 6,13,0,"Matt Ryan pass complete short right to Tevin Coleman for 6 yards, touchdown",4.950,7.000
2,14:53,,,LAR 15,14,0,Matt Bryant kicks extra point good,0.000,0.000
2,14:53,,,ATL 35,14,0,"Matthew Bosher kicks off 62 yards, returned by Mike Thomas for 23 yards (tackle by Eric Weems)",0.000,-0.670
2,14:45,1,10,LAR 26,14,0,Malcolm Brown middle for 7 yards (tackle by Deion Jones),0.670,1.070
2,14:06,2,3,LAR 33,14,0,Malcolm Brown left end for -5 yards (tackle by De'Vondre Campbell),1.070,-0.300
2,13:22,3,8,LAR 28,14,0,Jared Goff pass complete short left to Tavon Austin for 9 yards,-0.300,1.400
2,12:45,1,10,LAR 37,14,0,"Jared Goff pass incomplete short right intended for Todd Gurley. Penalty on Rob Havenstein: Ineligible Downfield Pass, 5 yards (no play)",1.400,1.070
2,12:35,1,15,LAR 32,14,0,Jared Goff pass incomplete short right intended for Brian Quick,1.070,0.180
2,12:33,2,15,LAR 32,14,0,Malcolm Brown middle for 10 yards (tackle by Keanu Neal),0.180,0.830
2,11:45,3,5,LAR 42,14,0,Jared Goff pass incomplete deep right intended for Tavon Austin,0.830,-0.590
2,11:39,4,5,LAR 42,14,0,Johnny Hekker punts 46 yards,-0.590,0.350
2,11:26,1,10,ATL 12,14,0,Matt Ryan pass complete short right to Aldrick Robinson for 9 yards (tackle by Trumaine Johnson),-0.350,0.420
2,11:06,2,1,ATL 21,14,0,Devonta Freeman right tackle for -1 yards (tackle by Ethan Westbrooks),0.420,-0.480
2,10:26,3,2,ATL 20,14,0,Matt Ryan pass incomplete short left intended for Taylor Gabriel (defended by Eugene Sims),-0.480,-2.030
2,10:21,4,2,ATL 20,14,0,Matthew Bosher punts 66 yards,-2.030,0.280
2,10:04,1,10,LAR 14,14,0,Jared Goff pass complete short left to Tavon Austin for 17 yards (tackle by Jalen Collins),-0.280,1.000
2,9:27,1,10,LAR 31,14,0,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",1.000,0.670
2,9:04,1,15,LAR 26,20,0,"Jared Goff pass incomplete short right intended for Kenny Britt is intercepted by Deion Jones at LAR-33 and returned for 33 yards, touchdown",0.670,-7.000
2,,,,LAR 15,21,0,Matt Bryant kicks extra point good,,
2,8:54,,,ATL 35,21,0,"Matthew Bosher kicks off 65 yards, touchback. Penalty on LaRoy Reynolds: Face Mask (15 Yards) (Offsetting), Penalty on Nic Grigsby: Offensive Holding (Offsetting)",0.000,-0.610
2,8:49,1,10,LAR 25,21,0,Todd Gurley right guard for 5 yards (tackle by Tyson Jackson and Paul Worrilow),0.610,0.740
2,8:06,2,5,LAR 30,21,0,"Jared Goff sacked by Vic Beasley for -7 yards. Jared Goff fumbles (forced by Vic Beasley), recovered by Greg Robinson at LAR-25 and returned for 4 yards. Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",0.740,-0.610
2,7:33,2,15,LAR 20,21,0,Jared Goff pass complete short right to Lance Kendricks for 13 yards (tackle by Paul Worrilow),-0.610,0.430
2,6:47,3,2,LAR 33,21,0,Jared Goff pass incomplete short right intended for Lance Kendricks (defended by Deion Jones),0.430,-1.180
2,6:42,4,2,LAR 33,21,0,"Johnny Hekker punts 50 yards, fair catch by Eric Weems",-1.180,0.060
2,6:32,1,10,ATL 17,21,0,Tevin Coleman left tackle for 6 yards (tackle by Mark Barron),-0.060,0.350
2,6:08,2,4,ATL 23,21,0,Matt Ryan pass incomplete short left intended for Austin Hooper (defended by Mike Jordan),0.350,-0.490
2,6:04,3,4,ATL 23,21,0,Matt Ryan pass incomplete short left intended for Nick Williams,-0.490,-1.830
