Unnamed: 0,ATL,LAR
First Downs,18,21
Rush-Yds-TDs,25-66-1,23-104-2
Cmp-Att-Yd-TD-INT,18-30-237-3-0,24-41-235-0-2
Sacked-Yards,2-17,3-27
Net Pass Yards,220,208
Total Yards,286,312
Fumbles-Lost,0-0,3-3
Turnovers,0,5
Penalties-Yards,5-40,11-105
Third Down Conv.,4-13,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,27:08,32:52
