Quarter,Time,Tm,Detail,ATL,LAR
1.0,14:50,Falcons,Justin Hardy 3 yard pass from Matt Ryan (Matt Bryant kick),7,0
2.0,14:53,Falcons,Tevin Coleman 6 yard pass from Matt Ryan (Matt Bryant kick),14,0
,8:54,Falcons,Deion Jones 33 yard interception return (Matt Bryant kick),21,0
3.0,13:18,Falcons,Taylor Gabriel 64 yard pass from Matt Ryan (Matt Bryant kick),28,0
,3:56,Falcons,Tevin Coleman 6 yard rush (Matt Bryant kick),35,0
,2:50,Falcons,Vic Beasley 21 yard defensive fumble return (Matt Bryant kick),42,0
4.0,14:57,Rams,Todd Gurley 3 yard rush (Greg Zuerlein kick),42,7
,2:44,Rams,Jared Goff 2 yard rush (Greg Zuerlein kick),42,14
