Quarter,Time,Tm,Detail,SFO,PHI
1.0,9:51,Eagles,Jake Elliott 26 yard field goal,0,3
,2:01,Eagles,Jake Elliott 39 yard field goal,0,6
2.0,7:10,49ers,Brandon Aiyuk 2 yard pass from Brock Purdy (Jake Moody kick),7,6
,0:38,49ers,Christian McCaffrey 2 yard rush (Jake Moody kick),14,6
3.0,11:49,49ers,Deebo Samuel 12 yard rush (Jake Moody kick),21,6
,6:51,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),21,13
,3:54,49ers,Deebo Samuel 48 yard pass from Brock Purdy (Jake Moody kick),28,13
4.0,10:43,49ers,Jauan Jennings 18 yard pass from Brock Purdy (Jake Moody kick),35,13
,5:33,Eagles,DeVonta Smith 2 yard pass from Jalen Hurts (pass failed),35,19
,5:19,49ers,Deebo Samuel 46 yard pass from Brock Purdy (Jake Moody kick),42,19
