Unnamed: 0,SFO,PHI
First Downs,24,23
Rush-Yds-TDs,28-146-2,18-46-1
Cmp-Att-Yd-TD-INT,19-27-314-4-0,28-48-314-1-0
Sacked-Yards,2-4,3-27
Net Pass Yards,310,287
Total Yards,456,333
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,5-47,7-47
Third Down Conv.,8-11,8-15
Fourth Down Conv.,1-1,1-2
Time of Possession,28:21,31:39
