Quarter,Time,Down,ToGo,Location,SFO,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PHI 25,0,0,Jalen Hurts pass incomplete short left intended for D'Andre Swift (defended by Charvarius Ward),0.610,0.060
1,14:51,2,10,PHI 25,0,0,D'Andre Swift left guard for 1 yard (tackle by Tashaun Gipson),0.060,-0.490
1,14:11,3,9,PHI 26,0,0,Jalen Hurts pass complete short right to A.J. Brown for 38 yards (tackle by Isaiah Oliver),-0.490,3.180
1,13:33,1,10,SFO 36,0,0,Kenneth Gainwell left end for 2 yards (tackle by Ji'Ayir Brown),3.180,2.910
1,12:52,2,8,SFO 34,0,0,Jalen Hurts pass complete short right to Quez Watkins for 8 yards (tackle by Charvarius Ward),2.910,3.840
1,12:19,1,10,SFO 26,0,0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,3.840,3.300
1,12:09,2,10,SFO 26,0,0,D'Andre Swift left guard for 4 yards (tackle by Dre Greenlaw and Javon Kinlaw),3.300,3.140
1,11:26,3,6,SFO 22,0,0,Jalen Hurts pass complete short right to Kenneth Gainwell for 11 yards (tackle by Tashaun Gipson),3.140,4.840
1,10:46,1,10,SFO 11,0,0,Jalen Hurts pass incomplete short right,4.840,4.140
1,10:39,2,10,SFO 11,0,0,D'Andre Swift left end for 3 yards (tackle by Tashaun Gipson),4.140,3.760
1,9:58,3,7,SFO 8,0,0,Jalen Hurts pass incomplete short left intended for A.J. Brown (defended by Charvarius Ward),3.760,2.960
1,9:54,4,7,SFO 8,0,3,Jake Elliott 26 yard field goal good,2.960,3.000
1,9:51,,,PHI 35,0,3,"Jake Elliott kicks off 70 yards, returned by Deebo Samuel for 32 yards (tackle by Nolan Smith)",0.000,0.740
1,9:46,1,10,SFO 27,0,3,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk (defended by Jordan Davis),0.740,0.200
1,9:43,2,10,SFO 27,0,3,Brock Purdy sacked by and Haason Reddick for -2 yards and Fletcher Cox for -2 yards,0.200,-0.760
1,9:06,3,12,SFO 25,0,3,Brock Purdy pass incomplete short right intended for Christian McCaffrey,-0.760,-1.700
1,8:56,4,12,SFO 25,0,3,"Mitch Wishnowsky punts 49 yards, fair catch by Britain Covey at PHI-26",-1.700,-0.670
1,8:49,1,10,PHI 26,0,3,"Jalen Hurts aborted snap, recovered by Jalen Hurts at PHI-20 Jalen Hurts pass incomplete short right",0.670,0.130
1,8:42,2,10,PHI 26,0,3,Jalen Hurts scrambles left end for 7 yards (tackle by Dre Greenlaw),0.130,0.370
1,8:00,,,,,,Timeout #1 by Philadelphia Eagles,,
1,8:00,3,3,PHI 33,0,3,Jalen Hurts pass complete short right to A.J. Brown for 17 yards (tackle by Charvarius Ward),0.370,2.260
