Unnamed: 0,TAM,NWE
First Downs,12,22
Rush-Yds-TDs,18-30-0,32-83-1
Cmp-Att-Yd-TD-INT,21-34-155-0-0,20-31-258-3-0
Sacked-Yards,7-47,1-5
Net Pass Yards,108,253
Total Yards,138,336
Fumbles-Lost,2-1,0-0
Turnovers,1,0
Penalties-Yards,8-58,8-54
Third Down Conv.,7-16,7-16
Fourth Down Conv.,0-2,1-1
Time of Possession,26:32,33:28
