Quarter,Time,Down,ToGo,Location,MIN,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,STL 35,0,0,"Greg Zuerlein kicks off 74 yards, returned by Cordarrelle Patterson for 32 yards (tackle by Lamarcus Joyner). Penalty on Gerald Hodges: Offensive Holding, 10 yards",0.000,0.380
1,14:57,1,10,MIN 10,0,0,Adrian Peterson right guard for 7 yards (tackle by James Laurinaitis),-0.380,-0.090
1,14:26,2,3,MIN 17,0,0,Cordarrelle Patterson right end for 12 yards (tackle by E.J. Gaines),-0.090,0.870
1,13:48,1,10,MIN 29,0,0,Adrian Peterson up the middle for 5 yards (tackle by Michael Brockers),0.870,1.000
1,13:06,2,5,MIN 34,0,0,Adrian Peterson left end for 3 yards (tackle by Janoris Jenkins),1.000,0.700
1,12:36,3,2,MIN 37,0,0,Matt Cassel pass complete short right to Greg Jennings for 11 yards (tackle by Lamarcus Joyner),0.700,2.130
1,12:02,1,10,MIN 48,0,0,Adrian Peterson left tackle for 3 yards (tackle by Aaron Donald),2.130,1.990
1,11:25,2,7,STL 49,0,0,"Matt Cassel pass complete short right to Adrian Peterson for 9 yards (tackle by Rodney McLeod). Penalty on Robert Quinn: Roughing the Passer, 15 yards, Penalty on Alec Ogletree: Defensive Holding (Declined)",1.990,3.910
1,10:58,1,10,STL 25,0,0,Adrian Peterson right guard for -5 yards (tackle by T.J. McDonald),3.910,2.690
1,10:22,2,15,STL 30,0,0,Matt Cassel pass incomplete short right intended for Adrian Peterson,2.690,2.010
1,10:16,3,15,STL 30,0,0,"Penalty on Matt Kalil: False Start, 5 yards (no play)",2.010,1.350
1,10:16,3,20,STL 35,0,0,Adrian Peterson right tackle for 1 yard (tackle by T.J. McDonald),1.350,1.060
1,9:40,4,19,STL 34,3,0,Blair Walsh 52 yard field goal good,1.060,3.000
1,9:40,,,MIN 35,3,0,"Blair Walsh kicks off 74 yards, returned by Chris Givens for 26 yards (tackle by Gerald Hodges)",0.000,0.060
1,9:33,1,10,STL 17,3,0,Shaun Hill pass complete deep left to Brian Quick for 23 yards (tackle by Xavier Rhodes),-0.060,1.600
1,8:54,1,10,STL 40,3,0,Shaun Hill pass complete short left to Tavon Austin for no gain,1.600,1.050
1,8:21,2,10,STL 40,3,0,Zac Stacy up the middle for 2 yards (tackle by Sharrif Floyd),1.050,0.630
1,7:37,3,8,STL 42,3,0,Shaun Hill pass complete short right to Jared Cook for 4 yards (tackle by Gerald Hodges),0.630,-0.320
1,7:02,4,4,STL 46,3,0,"Johnny Hekker punts 45 yards, out of bounds",-0.320,0.380
1,6:56,1,10,MIN 9,3,0,"Penalty on Chris Long: Neutral Zone Infraction, 5 yards (no play)",-0.380,0.000
1,6:56,1,5,MIN 14,3,0,Adrian Peterson right tackle for 17 yards (tackle by Rodney McLeod),0.000,1.000
1,6:17,1,10,MIN 31,3,0,Matt Cassel pass complete short left to Cordarrelle Patterson for 2 yards (tackle by Janoris Jenkins),1.000,0.730
1,5:35,2,8,MIN 33,3,0,Matt Cassel pass incomplete short right intended for Jarius Wright,0.730,0.040
1,5:30,3,8,MIN 33,3,0,Matt Cassel pass incomplete,0.040,-1.180
1,5:26,4,8,MIN 33,3,0,"Jeff Locke punts 43 yards, muffed catch by Tavon Austin, recovered by Tavon Austin and returned for no gain",-1.180,-0.740
1,5:17,1,10,STL 27,3,0,Zac Stacy left guard for 2 yards (tackle by Brian Robison),0.740,0.470
1,4:46,2,8,STL 29,3,0,Zac Stacy right tackle for 7 yards (tackle by Jasper Brinkley),0.470,0.700
1,4:06,3,1,STL 36,3,0,Shaun Hill pass complete short left to Cory Harkey for 4 yards (tackle by Harrison Smith),0.700,1.600
1,3:34,1,10,STL 40,3,0,Shaun Hill pass complete deep right to Brian Quick for 19 yards (tackle by Robert Blanton),1.600,2.850
1,2:49,1,10,MIN 41,3,0,Zac Stacy right tackle for 2 yards (tackle by Linval Joseph),2.850,2.580
1,2:04,2,8,MIN 39,3,0,Shaun Hill pass incomplete short left intended for Zac Stacy,2.580,1.880
1,1:56,3,8,MIN 39,3,0,Shaun Hill pass complete short right to Brian Quick for 7 yards (tackle by Josh Robinson),1.880,1.310
1,1:17,4,1,MIN 32,3,0,Greg Zuerlein 50 yard field goal no good,1.310,-1.600
1,1:09,1,10,MIN 40,3,0,Cordarrelle Patterson right end for 23 yards (tackle by Alec Ogletree),1.600,3.120
1,0:30,1,10,STL 37,3,0,Adrian Peterson right tackle for no gain (tackle by Rodney McLeod),3.120,2.570
Quarter,Time,Down,ToGo,Location,MIN,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,STL 37,3,0,Matt Cassel pass incomplete deep left intended for Cordarrelle Patterson,2.570,1.880
2,14:56,3,10,STL 37,3,0,Matt Cassel pass complete short right to Kyle Rudolph for 9 yards (tackle by Rodney McLeod),1.880,1.720
2,14:21,4,1,STL 28,6,0,Blair Walsh 46 yard field goal good,1.720,3.000
2,14:21,,,MIN 35,6,0,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
2,14:16,1,10,STL 20,6,0,"Chris Givens right end for 4 yards. Penalty on Captain Munnerlyn: Unnecessary Roughness, 15 yards",0.280,1.530
2,13:54,1,10,STL 39,6,0,Tavon Austin up the middle for 3 yards (tackle by Jasper Brinkley),1.530,1.390
2,13:13,2,7,STL 42,6,0,Tavon Austin left tackle for -3 yards (tackle by Sharrif Floyd),1.390,0.300
2,12:39,3,10,STL 39,6,0,"Penalty on Rodger Saffold: False Start, 5 yards (no play)",0.300,-0.360
2,12:10,3,15,STL 34,6,0,Shaun Hill pass incomplete short right intended for Kenny Britt,-0.360,-1.110
2,12:02,4,15,STL 34,6,0,Johnny Hekker punts 46 yards,-1.110,-0.280
