Quarter,Time,Tm,Detail,MIN,STL
1.0,9:37,Vikings,Blair Walsh 52 yard field goal,3,0
2.0,14:16,Vikings,Blair Walsh 46 yard field goal,6,0
,0:21,Vikings,Greg Jennings 8 yard pass from Matt Cassel (Blair Walsh kick),13,0
3.0,10:11,Rams,Greg Zuerlein 56 yard field goal,13,3
,1:54,Vikings,Cordarrelle Patterson 67 yard rush (Blair Walsh kick),20,3
4.0,6:27,Vikings,Kyle Rudolph 7 yard pass from Matt Cassel (Blair Walsh kick),27,3
,2:57,Vikings,Harrison Smith 81 yard interception return (Blair Walsh kick),34,3
,1:31,Rams,Greg Zuerlein 46 yard field goal,34,6
