Unnamed: 0,MIN,STL
First Downs,18,15
Rush-Yds-TDs,32-185-1,22-72-0
Cmp-Att-Yd-TD-INT,17-25-170-2-0,24-36-273-0-2
Sacked-Yards,0-0,5-27
Net Pass Yards,170,246
Total Yards,355,318
Fumbles-Lost,2-0,4-0
Turnovers,0,2
Penalties-Yards,7-60,13-121
Third Down Conv.,3-12,4-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:17,31:43
