Unnamed: 0,ATL,ARI
First Downs,21,24
Rush-Yds-TDs,23-102-1,28-68-0
Cmp-Att-Yd-TD-INT,28-42-315-2-1,35-52-369-3-0
Sacked-Yards,2-12,0-0
Net Pass Yards,303,369
Total Yards,405,437
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,10-74,4-57
Third Down Conv.,6-15,6-16
Fourth Down Conv.,1-1,1-1
Time of Possession,28:21,37:09
