Quarter,Time,Tm,Detail,ATL,ARI
1,4:14,Cardinals,Anquan Boldin 4 yard pass from Kurt Warner (Neil Rackers kick),0,7
,1:01,Falcons,Jason Snelling 1 yard rush (Morten Andersen kick),7,7
2,8:10,Cardinals,Anquan Boldin 13 yard pass from Kurt Warner (Neil Rackers kick),7,14
,7:54,Falcons,Laurent Robinson 74 yard pass from Chris Redman (Morten Andersen kick),14,14
,4:01,Cardinals,Neil Rackers 32 yard field goal,14,17
,0:16,Cardinals,J.J. Arrington 4 yard pass from Kurt Warner (Neil Rackers kick),14,24
4,8:52,Falcons,Morten Andersen 23 yard field goal,17,24
,4:45,Falcons,Alge Crumpler 7 yard pass from Chris Redman (Morten Andersen kick),24,24
,1:38,Falcons,Morten Andersen 21 yard field goal,27,24
,0:00,Cardinals,Neil Rackers 29 yard field goal,27,27
OT,9:30,Cardinals,Neil Rackers 31 yard field goal,27,30
