Quarter,Time,Down,ToGo,Location,ATL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,ATL 30,0,0,"Michael Koenen kicks off 66 yards, returned by Steve Breaston for 20 yards (tackle by Stephen Nicholas)",0.000,0.540
1,14:56,1,10,ARI 24,0,0,Edgerrin James left tackle for 7 yards (tackle by Keith Brooking),0.540,0.940
1,14:21,2,3,ARI 31,0,0,Kurt Warner pass complete short right to Edgerrin James for -8 yards (tackle by Jonathan Babineaux),0.940,-0.820
1,14:01,3,11,ARI 23,0,0,Kurt Warner pass incomplete short right intended for Marcel Shipp,-0.820,-1.830
1,13:32,4,11,ARI 23,0,0,"Mitch Berger punts 38 yards, returned by DeAngelo Hall for 5 yards (tackle by Aaron Francisco)",-1.830,-1.860
1,13:25,1,10,ATL 44,0,0,Chris Redman pass complete short left to Alge Crumpler for 5 yards (tackle by Terrence Holt),1.860,1.990
1,12:55,2,5,ATL 49,0,0,Chris Redman pass complete short right to Roddy White for 10 yards (tackle by Roderick Hood),1.990,2.850
1,12:22,1,10,ARI 41,0,0,"Warrick Dunn left tackle for no gain (tackle by Karlos Dansby and Darnell Dockett). Penalty on Tyson Clabo: False Start, 5 yards (no play)",2.850,2.520
1,12:07,1,15,ARI 46,0,0,Chris Redman pass complete short left to Laurent Robinson for 7 yards (tackle by Calvin Pace),2.520,2.580
1,11:32,,,,0,0,Timeout #1 by Atlanta Falcons,0.000,2.580
1,11:32,2,8,ARI 39,0,0,Warrick Dunn right end for 5 yards (tackle by Aaron Francisco),2.580,2.540
1,10:52,3,3,ARI 34,0,0,"Chris Redman pass incomplete deep right intended for Laurent Robinson. Penalty on Roderick Hood: Defensive Pass Interference, 23 yards (no play)",2.540,4.840
1,10:47,1,10,ARI 11,0,0,Warrick Dunn left tackle for 4 yards (tackle by Joe Tafoya and Aaron Francisco),4.840,4.890
1,10:13,2,6,ARI 7,0,0,Chris Redman up the middle for 1 yard (tackle by Darryl Blackstock),4.890,4.210
1,9:34,3,5,ARI 6,0,0,Chris Redman pass incomplete short right intended for Roddy White is intercepted by Roderick Hood at ARI-0,4.210,-0.280
1,9:28,1,10,ARI 20,0,0,Edgerrin James up the middle for 3 yards (tackle by Jonathan Babineaux),0.280,0.140
1,8:54,2,7,ARI 23,0,0,Kurt Warner pass complete short middle to Anquan Boldin for 8 yards (tackle by Chris Crocker),0.140,1.000
1,8:14,1,10,ARI 31,0,0,Edgerrin James right tackle for 2 yards (tackle by DeAngelo Hall),1.000,0.730
1,7:33,2,8,ARI 33,0,0,Kurt Warner pass complete deep left to Anquan Boldin for 31 yards (tackle by Demorrio Williams),0.730,3.180
1,6:47,1,10,ATL 36,0,0,Kurt Warner pass complete short left to Edgerrin James for 2 yards (tackle by Demorrio Williams),3.180,2.910
1,6:08,2,8,ATL 34,0,0,Kurt Warner pass complete short middle to Ben Patrick for 21 yards (tackle by Chris Crocker),2.910,4.710
1,5:25,1,10,ATL 13,0,0,"Edgerrin James left tackle for 4 yards (tackle by John Abraham). Penalty on ATL: Face Mask (15 Yards), 5 yards",4.710,6.280
1,5:05,1,4,ATL 4,0,0,Kurt Warner pass incomplete short left intended for Bryant Johnson,6.280,5.340
1,4:59,2,4,ATL 4,0,0,Edgerrin James up the middle for no gain (tackle by Stephen Nicholas),5.340,4.490
1,4:19,3,4,ATL 4,0,6,"Kurt Warner pass complete short left to Anquan Boldin for 4 yards, touchdown",4.490,7.000
1,,,,ATL 2,0,7,Neil Rackers kicks extra point good,0.000,0.000
1,,,,ARI 30,0,7,"Neil Rackers kicks off 71 yards, returned by Jerious Norwood for 27 yards (tackle by Ralph Brown)",0.000,0.670
1,4:08,1,10,ATL 26,0,7,Chris Redman pass incomplete deep left intended for Roddy White,0.670,0.130
1,4:03,2,10,ATL 26,0,7,"Penalty on Kynan Forney: Offensive Offside, 5 yards (no play)",0.130,-0.550
1,4:03,2,15,ATL 21,0,7,Chris Redman pass complete short left to Roddy White for 13 yards (tackle by Terrence Holt),-0.550,0.500
1,3:39,3,2,ATL 34,0,7,Chris Redman pass incomplete short middle intended for Laurent Robinson,0.500,-1.110
1,3:34,4,2,ATL 34,0,7,Travis Williams up the middle for 37 yards (tackle by Steve Breaston),-1.110,3.640
1,2:48,1,10,ARI 29,0,7,Chris Redman pass incomplete short right intended for Ovie Mughelli,3.640,3.100
1,2:41,2,10,ARI 29,0,7,Jerious Norwood left tackle for 2 yards (tackle by Darnell Dockett),3.100,2.680
1,2:02,3,8,ARI 27,0,7,Chris Redman pass complete short left to Roddy White for 14 yards (tackle by Roderick Hood),2.680,4.710
1,1:35,1,10,ARI 13,0,7,Jerious Norwood left end for 12 yards (tackle by Antrel Rolle),4.710,6.970
1,1:06,1,1,ARI 1,6,7,"Jason Snelling left tackle for 1 yard, touchdown",6.970,7.000
1,,,,ARI 2,7,7,Morten Andersen kicks extra point good,0.000,0.000
