Unnamed: 0,TAM,IND
First Downs,28,24
Rush-Yds-TDs,27-142-4,20-107-1
Cmp-Att-Yd-TD-INT,25-34-226-1-1,27-44-306-3-2
Sacked-Yards,2-9,3-21
Net Pass Yards,217,285
Total Yards,359,392
Fumbles-Lost,1-1,3-3
Turnovers,2,5
Penalties-Yards,4-44,6-66
Third Down Conv.,2-8,5-11
Fourth Down Conv.,0-0,2-2
Time of Possession,29:59,30:01
