Quarter,Time,Tm,Detail,TAM,IND
1.0,12:31,Colts,Michael Badgley 45 yard field goal,0,3
2.0,13:22,Buccaneers,Leonard Fournette 1 yard rush (Ryan Succop kick),7,3
,11:44,Colts,Ashton Dulin 62 yard pass from Carson Wentz (Michael Badgley kick),7,10
,5:07,Colts,Jack Doyle 15 yard pass from Carson Wentz (Michael Badgley kick),7,17
,1:56,Buccaneers,Leonard Fournette 4 yard pass from Tom Brady (Ryan Succop kick),14,17
,0:18,Colts,T.Y. Hilton 4 yard pass from Carson Wentz (Michael Badgley kick),14,24
3.0,8:06,Buccaneers,Leonard Fournette 4 yard rush (Ryan Succop kick),21,24
,1:06,Buccaneers,Ronald Jones II 1 yard rush (Ryan Succop kick),28,24
4.0,10:06,Buccaneers,Ryan Succop 25 yard field goal,31,24
,3:29,Colts,Jonathan Taylor 4 yard rush (Michael Badgley kick),31,31
,0:20,Buccaneers,Leonard Fournette 28 yard rush (Ryan Succop kick),38,31
