Quarter,Time,Tm,Detail,IND,HOU
1.0,10:40,Colts,Marvin Harrison 3 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
,3:37,Colts,Reggie Wayne 12 yard pass from Peyton Manning (Mike Vanderjagt kick),14,0
2.0,8:26,Texans,Jonathan Wells 3 yard pass from David Carr (Kris Brown kick),14,7
3.0,11:36,Colts,Mike Vanderjagt 30 yard field goal,17,7
,6:18,Texans,Domanick Williams 15 yard rush (Kris Brown kick),17,14
4.0,7:38,Colts,Mike Vanderjagt 43 yard field goal,20,14
,1:56,Colts,Mike Vanderjagt 44 yard field goal,23,14
