Unnamed: 0,IND,HOU
First Downs,22,17
Rush-Yds-TDs,30-101-0,28-148-1
Cmp-Att-Yd-TD-INT,26-33-298-2-0,16-21-167-1-1
Sacked-Yards,2-17,5-42
Net Pass Yards,281,125
Total Yards,382,273
Fumbles-Lost,3-0,1-1
Turnovers,0,2
Penalties-Yards,8-50,6-30
Third Down Conv.,4-11,4-11
Fourth Down Conv.,0-0,0-1
Time of Possession,32:19,27:41
