Quarter,Time,Down,ToGo,Location,SDG,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Josh Lambo kicks off 67 yards, returned by Taiwan Jones for 22 yards (tackle by Kavell Conner)",0.000,-0.280
1,14:54,1,10,OAK 20,0,0,Latavius Murray left tackle for 3 yards (tackle by Eric Weddle and Ricardo Mathews),0.280,0.140
1,14:54,2,7,OAK 23,0,0,"Penalty on Melvin Ingram: Neutral Zone Infraction, 5 yards (no play)",0.140,0.810
1,13:57,2,2,OAK 28,0,0,Latavius Murray middle for 3 yards (tackle by Denzel Perryman),0.810,1.000
1,13:13,1,10,OAK 31,0,0,Derek Carr middle for 5 yards (tackle by Melvin Ingram),1.000,1.140
1,12:34,2,5,OAK 36,0,0,Derek Carr pass incomplete short right intended for Marcel Reece is intercepted by Kendall Reyes at OAK-33 and returned for 1 yard,1.140,-3.450
1,12:28,1,10,OAK 32,0,0,"Philip Rivers pass complete short middle to John Phillips for 6 yards (tackle by T.J. Carrie). Penalty on D.J. Fluker: Offensive Holding, 10 yards (no play)",3.450,2.790
1,12:03,1,20,OAK 42,0,0,Donald Brown middle for 5 yards (tackle by Justin Ellis),2.790,2.230
1,11:24,2,15,OAK 37,0,0,Philip Rivers pass complete short middle to Donald Brown for 23 yards (tackle by D.J. Hayden),2.230,4.650
1,10:58,1,10,OAK 14,0,0,Donald Brown left end for 1 yard (tackle by Justin Ellis),4.650,4.160
1,10:18,2,9,OAK 13,0,0,Philip Rivers pass incomplete short middle intended for Ladarius Green (defended by D.J. Hayden),4.160,3.260
1,10:14,3,9,OAK 13,0,0,Philip Rivers pass complete short middle to Dontrelle Inman for 12 yards (tackle by T.J. Carrie),3.260,6.970
1,9:52,1,1,OAK 1,0,0,Danny Woodhead middle for no gain (tackle by Khalil Mack and Taylor Mays),6.970,6.970
1,9:13,1,1,OAK 1,0,0,Timeout #1 by Los Angeles Chargers,6.970,5.910
1,9:13,2,1,OAK 1,6,0,"Donald Brown middle for 1 yard, touchdown",5.910,7.000
1,9:13,,,OAK 1,7,0,Josh Lambo kicks extra point good,0.000,0.000
1,9:13,,,SDG 35,7,0,"Josh Lambo kicks off 74 yards, returned by Taiwan Jones for 32 yards (tackle by Darrell Stuckey)",0.000,-0.480
1,9:01,1,10,OAK 23,7,0,Derek Carr pass complete short middle to Lee Smith for 17 yards (tackle by Denzel Perryman),0.480,1.600
1,8:26,1,10,OAK 40,7,0,Latavius Murray left tackle for 2 yards (tackle by Denzel Perryman and Ryan Carrethers),1.600,1.320
1,7:47,2,8,OAK 42,7,0,Latavius Murray right end for 9 yards (tackle by Jahleel Addae),1.320,2.320
1,7:19,1,10,SDG 49,7,0,Derek Carr pass complete short middle to Michael Crabtree for 2 yards (tackle by Manti Te'o),2.320,2.050
1,6:40,2,8,SDG 47,7,0,Derek Carr pass complete short middle to Latavius Murray for 10 yards (tackle by Melvin Ingram),2.050,3.120
1,6:02,1,10,SDG 37,7,0,"Penalty on Lee Smith: False Start, 5 yards (no play)",3.120,2.790
1,5:36,1,15,SDG 42,7,0,Derek Carr pass complete short middle to Andre Holmes for 7 yards (tackle by Denzel Perryman),2.790,2.840
1,4:55,2,8,SDG 35,7,0,Derek Carr sacked by Denzel Perryman for -9 yards,2.840,0.960
1,4:14,3,17,SDG 44,7,0,Derek Carr pass complete deep right to Clive Walford for 22 yards (tackle by Darrell Stuckey and Craig Mager),0.960,4.110
1,3:33,1,10,SDG 22,7,6,"Latavius Murray right tackle for 22 yards, touchdown",4.110,7.000
1,3:33,,,SDG 22,7,7,Sebastian Janikowski kicks extra point good,0.000,0.000
1,3:33,,,OAK 35,7,7,"Sebastian Janikowski kicks off 53 yards, returned by John Phillips for 13 yards (tackle by Tevin McDonald)",0.000,-0.610
1,3:20,1,10,SDG 25,7,7,Philip Rivers pass complete deep right to Dontrelle Inman for 17 yards,0.610,1.730
1,3:03,1,10,SDG 42,7,7,Donald Brown left guard for 2 yards (tackle by Dan Williams),1.730,1.460
1,2:30,2,8,SDG 44,7,7,Donald Brown middle for 3 yards (tackle by Ben Heeney),1.460,1.160
1,1:48,3,5,SDG 47,7,7,"Penalty on D.J. Fluker: False Start, 5 yards (no play)",1.160,0.500
1,1:23,3,10,SDG 42,7,7,Philip Rivers pass incomplete short left intended for Javontee Herndon,0.500,-0.590
1,1:18,4,10,SDG 42,7,7,"Mike Scifres punts 48 yards, returned by Jeremy Ross for no gain",-0.590,0.380
1,1:09,1,10,OAK 10,7,7,Latavius Murray left guard for 3 yards (tackle by Kendall Reyes),-0.380,-0.560
1,0:27,2,7,OAK 13,7,7,"Penalty on Rodney Hudson: False Start, 5 yards (no play)",-0.560,-0.930
1,0:10,2,12,OAK 8,7,7,Latavius Murray right tackle for -3 yards (tackle by Ricardo Mathews),-0.930,-2.010
Quarter,Time,Down,ToGo,Location,SDG,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,15,OAK 5,7,7,Derek Carr pass incomplete short left intended for Seth Roberts (defended by Melvin Ingram),-2.010,-2.490
2,14:58,4,15,OAK 5,7,7,"Marquette King punts 43 yards, out of bounds. Penalty on Keith McGill: Face Mask (15 Yards), 15 yards",-2.490,-3.380
2,14:48,1,10,OAK 33,7,7,Donald Brown middle for 2 yards (tackle by Denico Autry),3.380,3.110
2,14:41,2,8,OAK 31,7,7,"Penalty on David Johnson: False Start, 5 yards (no play)",3.110,2.430
2,13:48,2,13,OAK 36,7,7,Philip Rivers pass complete short middle to Antonio Gates for 8 yards (tackle by Malcolm Smith),2.430,2.810
2,13:03,3,5,OAK 28,7,7,Philip Rivers pass complete short middle to Ladarius Green for 14 yards (tackle by D.J. Hayden),2.810,4.650
2,12:30,1,10,OAK 14,7,7,Donald Brown middle for 1 yard,4.650,4.160
2,11:49,2,9,OAK 13,7,7,Philip Rivers pass complete short middle to Javontee Herndon for 6 yards (tackle by Malcolm Smith),4.160,4.500
2,11:08,3,3,OAK 7,13,7,"Philip Rivers pass complete short right to Dontrelle Inman for 7 yards, touchdown",4.500,7.000
2,11:08,,,OAK 7,14,7,Josh Lambo kicks extra point good,0.000,0.000
2,11:08,,,SDG 35,14,7,"Josh Lambo kicks off 61 yards, returned by Taiwan Jones for 21 yards (tackle by Joe Mays)",0.000,-0.610
2,10:59,1,10,OAK 25,14,7,Latavius Murray right guard for 4 yards (tackle by Denzel Perryman),0.610,0.600
2,10:20,2,6,OAK 29,14,7,Derek Carr pass complete short right to Andre Holmes for 10 yards (tackle by Craig Mager),0.600,1.530
2,9:50,1,10,OAK 39,14,7,"Derek Carr right end for 9 yards (tackle by Manti Te'o). Penalty on Mychal Rivera: Offensive Holding, 10 yards",1.530,1.470
2,9:30,1,11,OAK 38,14,7,Latavius Murray right guard for 3 yards (tackle by Damion Square and Eric Weddle),1.470,1.260
2,8:52,2,8,OAK 41,14,7,Latavius Murray right guard for 8 yards (tackle by Eric Weddle),1.260,2.190
2,8:06,1,10,OAK 49,14,7,Derek Carr pass incomplete short right intended for Amari Cooper,2.190,1.650
2,8:02,2,10,OAK 49,14,7,Derek Carr pass complete short middle to Latavius Murray for 7 yards (tackle by Manti Te'o),1.650,1.880
2,8:02,3,3,SDG 44,14,7,"Penalty on Ricardo Mathews: Encroachment, 5 yards (no play)",1.880,2.980
2,7:16,1,10,SDG 39,14,7,Latavius Murray left end for 5 yards (tackle by Ryan Carrethers),2.980,3.120
2,6:40,2,5,SDG 34,14,7,Derek Carr pass complete short left to Latavius Murray for 3 yards (tackle by Manti Te'o),3.120,2.810
