Unnamed: 0,SDG,OAK
First Downs,19,14
Rush-Yds-TDs,25-72-1,24-106-1
Cmp-Att-Yd-TD-INT,31-49-277-1-0,23-38-204-1-1
Sacked-Yards,1-6,3-29
Net Pass Yards,271,175
Total Yards,343,281
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,9-75,16-121
Third Down Conv.,5-16,4-15
Fourth Down Conv.,0-1,0-0
Time of Possession,35:04,33:21
