Unnamed: 0,NYJ,BUF
First Downs,17,24
Rush-Yds-TDs,21-149-2,39-177-1
Cmp-Att-Yd-TD-INT,12-26-161-0-2,18-26-172-2-2
Sacked-Yards,5-35,1-8
Net Pass Yards,126,164
Total Yards,275,341
Fumbles-Lost,2-1,1-0
Turnovers,3,2
Penalties-Yards,7-50,13-99
Third Down Conv.,3-10,5-10
Fourth Down Conv.,0-0,0-0
Time of Possession,21:25,38:35
