Quarter,Time,Down,ToGo,Location,KAN,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 73 yards, returned by Knile Davis for 30 yards (tackle by Artie Burns)",0.000,-0.410
1,14:56,1,10,KAN 22,0,0,Alex Smith pass complete short middle to Jeremy Maclin for 15 yards (tackle by Mike Mitchell),0.410,1.400
1,14:18,1,10,KAN 37,0,0,Alex Smith pass complete short right to Chris Conley for 17 yards (tackle by Mike Mitchell),1.400,2.520
1,13:38,1,10,PIT 46,0,0,Alex Smith pass incomplete short left intended for Jamaal Charles,2.520,1.980
1,13:34,2,10,PIT 46,0,0,Alex Smith sacked by Cameron Heyward for -5 yards,1.980,0.630
1,12:50,3,15,KAN 49,0,0,"Alex Smith pass incomplete deep middle intended for Chris Conley. Penalty on Cameron Heyward: Defensive Offside, 5 yards (no play)",0.630,1.290
1,12:45,3,10,PIT 46,0,0,Alex Smith pass incomplete,1.290,0.200
1,12:40,4,10,PIT 46,0,0,Dustin Colquitt punts 41 yards,0.200,0.380
1,12:28,1,10,PIT 5,0,0,Ben Roethlisberger pass complete deep right to Sammie Coates for 47 yards (tackle by Marcus Peters),-0.380,2.390
1,11:39,1,10,KAN 48,0,0,Ben Roethlisberger pass incomplete short middle intended for Antonio Brown,2.390,1.850
1,11:36,2,10,KAN 48,0,0,Ben Roethlisberger pass complete short right to Le'Veon Bell for 8 yards (tackle by Derrick Johnson),1.850,2.210
1,10:58,3,2,KAN 40,0,0,"Ben Roethlisberger pass incomplete deep right intended for Antonio Brown. Penalty on Dee Ford: Defensive Offside, 5 yards (no play)",2.210,3.250
1,10:52,1,10,KAN 35,0,0,"DeAngelo Williams right tackle for 9 yards (tackle by Justin March-Lillard). Penalty on David DeCastro: Offensive Holding, 10 yards (no play)",3.250,2.590
1,10:30,1,20,KAN 45,0,0,DeAngelo Williams right tackle for no gain (tackle by Justin March-Lillard),2.590,1.350
1,9:47,2,20,KAN 45,0,0,Ben Roethlisberger pass incomplete short middle intended for Le'Veon Bell,1.350,0.700
1,9:42,3,20,KAN 45,0,0,Ben Roethlisberger sacked by Dontari Poe and Dee Ford for -5 yards,0.700,-0.060
1,9:06,4,25,KAN 50,0,0,"Jordan Berry punts 40 yards, returned by Tyreek Hill for 14 yards (tackle by Vince Williams)",-0.060,-0.540
1,8:55,1,10,KAN 24,0,0,"Spencer Ware middle for 3 yards (tackle by Stephon Tuitt). Spencer Ware fumbles (forced by Stephon Tuitt), recovered by Ross Cockrell at KAN-32 (tackle by Albert Wilson)",0.540,-3.450
1,8:50,1,10,KAN 32,0,0,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 2 yards (tackle by Jaye Howard and Dee Ford),3.450,3.170
1,8:13,2,8,KAN 30,0,0,Sammie Coates left end for -1 yards (tackle by Frank Zombo),3.170,2.340
1,7:34,3,9,KAN 31,0,6,"Ben Roethlisberger pass complete deep left to Darrius Heyward-Bey for 31 yards, touchdown",2.340,7.000
1,7:34,3,,KAN 31,0,8,"Two Point Attempt: Ben Roethlisberger pass complete to Markus Wheaton, conversion succeeds",2.340,1.000
1,7:34,,,PIT 35,0,8,"Chris Boswell kicks off 70 yards, returned by Knile Davis for 17 yards (tackle by Steven Johnson)",0.000,0.350
1,7:23,1,10,KAN 12,0,8,Spencer Ware middle for 2 yards (tackle by Vince Williams),-0.350,-0.610
1,6:49,2,8,KAN 14,0,8,Jamaal Charles middle for 6 yards (tackle by Vince Williams),-0.610,-0.480
1,6:09,3,2,KAN 20,0,8,Alex Smith pass complete short left to Tyreek Hill for 6 yards (tackle by Artie Burns),-0.480,0.670
