Quarter,Time,Tm,Detail,KAN,PIT
1.0,7:27,Steelers,Darrius Heyward-Bey 31 yard pass from Ben Roethlisberger (Markus Wheaton pass from Ben Roethlisberger),0,8
,5:10,Steelers,Antonio Brown 4 yard pass from Ben Roethlisberger (Chris Boswell kick),0,15
,1:20,Steelers,Antonio Brown 38 yard pass from Ben Roethlisberger (Chris Boswell kick),0,22
2.0,0:44,Steelers,Jesse James 9 yard pass from Ben Roethlisberger (Chris Boswell kick),0,29
3.0,11:19,Steelers,Markus Wheaton 30 yard pass from Ben Roethlisberger (Chris Boswell kick),0,36
4.0,11:11,Chiefs,Tyreek Hill 10 yard pass from Alex Smith (Cairo Santos kick),7,36
,7:22,Steelers,DeAngelo Williams 2 yard rush (Chris Boswell kick),7,43
,0:04,Chiefs,Travis Kelce 3 yard pass from Alex Smith (Cairo Santos kick),14,43
