Unnamed: 0,KAN,PIT
First Downs,22,18
Rush-Yds-TDs,18-87-0,26-149-1
Cmp-Att-Yd-TD-INT,30-50-287-2-1,22-27-300-5-0
Sacked-Yards,4-17,2-13
Net Pass Yards,270,287
Total Yards,357,436
Fumbles-Lost,3-1,1-0
Turnovers,2,0
Penalties-Yards,7-40,9-68
Third Down Conv.,8-17,6-11
Fourth Down Conv.,2-3,0-0
Time of Possession,30:36,29:24
