Unnamed: 0,BAL,ATL
First Downs,20,23
Rush-Yds-TDs,21-116-0,23-60-0
Cmp-Att-Yd-TD-INT,22-34-215-3-1,32-50-316-3-0
Sacked-Yards,2-11,2-14
Net Pass Yards,204,302
Total Yards,320,362
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,6-51,1-5
Third Down Conv.,6-11,12-20
Fourth Down Conv.,0-0,0-0
Time of Possession,24:51,35:09
