Quarter,Time,Down,ToGo,Location,BAL,ATL,Detail,EPB,EPA
2,8:48,4,3,BAL 46,0,7,Sam Koch punts 47 yards,-0.320,0.380
2,8:37,1,10,ATL 7,0,7,Michael Turner left end for 1 yard (tackle by Jarret Johnson and Terrence Cody),-0.380,-0.710
2,7:52,2,9,ATL 8,0,7,Michael Turner right guard for 2 yards (tackle by Ray Lewis),-0.710,-1.070
2,7:07,3,7,ATL 10,0,7,Matt Ryan pass complete short left to Tony Gonzalez for 13 yards (tackle by Haruki Nakamura),-1.070,0.480
2,6:27,1,10,ATL 23,0,7,Matt Ryan pass complete short right to Michael Jenkins for no gain,0.480,-0.070
2,5:52,2,10,ATL 23,0,7,Matt Ryan pass incomplete deep right intended for Michael Jenkins,-0.070,-0.760
2,5:46,3,10,ATL 23,0,7,Matt Ryan pass complete short right to Jason Snelling for 4 yards (tackle by Ray Lewis),-0.760,-1.570
2,5:02,4,6,ATL 27,0,7,"Michael Koenen punts 38 yards, returned by Lardarius Webb for 7 yards (tackle by Brian Finneran). Lardarius Webb fumbles, recovered by Coy Wire at BAL-43. Penalty on Dannell Ellerbe: Illegal Block Above the (Declined)",-1.570,2.720
2,4:51,1,10,BAL 43,0,7,Matt Ryan pass complete short right to Roddy White for 5 yards (tackle by Josh Wilson),2.720,2.850
2,4:21,2,5,BAL 38,0,7,Matt Ryan pass incomplete deep left intended for Roddy White,2.850,2.150
2,4:15,,,,0,7,Timeout #1 by Baltimore Ravens,0.000,2.150
2,4:15,3,5,BAL 38,0,7,Matt Ryan pass complete short left to Brian Finneran for 7 yards (tackle by Lardarius Webb),2.150,3.510
2,3:39,1,10,BAL 31,0,7,Michael Turner right guard for no gain (tackle by Cory Redding),3.510,2.970
2,3:00,2,10,BAL 31,0,7,Matt Ryan pass complete short right to Ovie Mughelli for 2 yards (tackle by Jarret Johnson),2.970,2.540
2,2:15,3,8,BAL 29,0,7,"Matt Ryan pass incomplete short left intended for Harry Douglas. Penalty on Dannell Ellerbe: Illegal Contact, 5 yards (no play)",2.540,3.970
2,2:10,1,10,BAL 24,0,7,Michael Turner right tackle for 3 yards (tackle by Terrence Cody and Dawan Landry),3.970,3.840
2,2:00,2,7,BAL 21,0,7,Michael Turner right tackle for 2 yards (tackle by Jarret Johnson),3.840,3.410
2,1:15,3,5,BAL 19,0,7,Matt Ryan middle for 5 yards (tackle by Ed Reed),3.410,4.650
,,,,,,,"Replay Assistant challenged the first down ruling, and the play was upheld.",,
2,0:37,,,,0,7,Timeout #1 by Atlanta Falcons,0.000,4.650
2,0:37,1,10,BAL 14,0,7,Matt Ryan pass incomplete short left intended for Michael Jenkins,4.650,4.000
2,0:30,2,10,BAL 14,0,7,Matt Ryan pass complete short right to Jason Snelling for 4 yards (tackle by Chris Carr and Ed Reed),4.000,3.820
2,0:24,,,,0,7,Timeout #2 by Atlanta Falcons,0.000,3.820
2,0:24,3,6,BAL 10,0,7,Matt Ryan pass incomplete short right intended for Brian Finneran,3.820,2.790
2,0:21,4,6,BAL 10,0,10,Matt Bryant 28 yard field goal good,2.790,3.000
2,,,,ATL 30,0,10,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
2,0:14,1,10,BAL 20,0,10,Joe Flacco kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,BAL,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,0,10,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,BAL 20,0,10,Joe Flacco sacked by John Abraham for -8 yards,0.280,-1.360
3,14:30,2,18,BAL 12,0,10,Ray Rice left end for 3 yards (tackle by John Abraham),-1.360,-1.860
3,13:57,3,15,BAL 15,0,10,Joe Flacco pass incomplete deep right intended for T.J. Houshmandzadeh is intercepted by Brent Grimes at BAL-39,-1.860,-2.980
3,13:50,1,10,BAL 39,0,10,Matt Ryan pass incomplete deep left intended for Michael Palmer,2.980,2.440
3,13:44,2,10,BAL 39,0,10,Matt Ryan pass incomplete short left intended for Roddy White,2.440,1.750
3,13:40,3,10,BAL 39,0,10,Matt Ryan pass complete short left to Michael Palmer for 6 yards (tackle by Josh Wilson),1.750,1.180
3,12:56,4,4,BAL 33,0,13,Matt Bryant 51 yard field goal good,1.180,3.000
3,,,,ATL 30,0,13,"Michael Koenen kicks off 66 yards, returned by David Reed for 31 yards (tackle by Spencer Adkins)",0.000,1.270
3,12:45,1,10,BAL 35,0,13,Ray Rice left end for 8 yards (tackle by Curtis Lofton),1.270,1.800
3,12:05,2,2,BAL 43,0,13,Ray Rice left end for 8 yards (tackle by Dunta Robinson),1.800,2.320
3,11:19,1,10,ATL 49,0,13,Ray Rice right guard for 1 yard (tackle by William Moore),2.320,1.920
3,10:38,2,9,ATL 48,0,13,Joe Flacco pass incomplete deep middle intended for Derrick Mason,1.920,1.220
3,10:30,3,9,ATL 48,0,13,Joe Flacco left end for 13 yards (tackle by Brent Grimes),1.220,3.250
3,9:43,1,10,ATL 35,0,13,Donte' Stallworth right end for 19 yards (tackle by William Moore),3.250,4.510
3,8:56,1,10,ATL 16,0,13,Joe Flacco pass complete short right to Willis McGahee for -4 yards (tackle by Vance Walker and Curtis Lofton),4.510,3.420
3,8:11,2,14,ATL 20,0,13,Joe Flacco pass complete short middle to Todd Heap for 13 yards (tackle by Stephen Nicholas),3.420,4.850
3,7:36,3,1,ATL 7,0,13,Le'Ron McClain left tackle for 2 yards (tackle by Chauncey Davis and Mike Peterson),4.850,6.060
3,6:56,1,5,ATL 5,6,13,"Joe Flacco pass complete short right to Anquan Boldin for 5 yards, touchdown",6.060,7.000
3,,,,ATL 2,7,13,Billy Cundiff kicks extra point good,0.000,0.000
3,,,,BAL 30,7,13,"Billy Cundiff kicks off 70 yards, touchback. Penalty on Cary Williams: Offside on Free Kick, 5 yards (no play)",0.000,0.000
3,,,,BAL 25,7,13,"Billy Cundiff kicks off 77 yards, returned by Eric Weems for 33 yards (tackle by Dawan Landry)",0.000,1.000
3,6:45,1,10,ATL 31,7,13,Michael Turner left guard for 8 yards (tackle by Jameel McClain),1.000,1.540
3,6:11,2,2,ATL 39,7,13,Michael Turner middle for 1 yard (tackle by Terrence Cody),1.540,0.960
3,5:28,3,1,ATL 40,7,13,Ovie Mughelli left tackle for 3 yards (tackle by Jameel McClain),0.960,1.800
3,4:49,1,10,ATL 43,7,13,Michael Turner left guard for 1 yard (tackle by Haloti Ngata),1.800,1.390
3,4:08,2,9,ATL 44,7,13,Matt Ryan pass complete short right to Roddy White for 7 yards (tackle by Josh Wilson),1.390,1.620
3,3:23,3,2,BAL 49,7,13,Matt Ryan sacked by Terrell Suggs for -4 yards,1.620,-0.260
3,2:49,4,6,ATL 47,7,13,"Michael Koenen punts 36 yards, returned by Ed Reed for 9 yards (tackle by Antone Smith)",-0.260,-0.670
3,2:39,1,10,BAL 26,7,13,Joe Flacco pass incomplete short right intended for Anquan Boldin,0.670,0.130
3,2:35,2,10,BAL 26,7,13,Joe Flacco pass complete short right to Anquan Boldin for 16 yards (tackle by Mike Peterson),0.130,1.730
3,2:09,1,10,BAL 42,7,13,Joe Flacco pass incomplete deep right intended for Anquan Boldin,1.730,1.190
3,2:05,2,10,BAL 42,7,13,Joe Flacco pass incomplete short left intended for Todd Heap,1.190,0.500
3,2:01,3,10,BAL 42,7,13,Joe Flacco pass incomplete short left intended for T.J. Houshmandzadeh,0.500,-0.590
3,1:56,4,10,BAL 42,7,13,"Sam Koch punts 48 yards, fair catch by Eric Weems. Penalty on Marcus Smith: Face Mask (15 Yards), 15 yards",-0.590,-0.610
3,1:49,1,10,ATL 25,7,13,Matt Ryan pass complete short left to Michael Jenkins for 10 yards (tackle by Josh Wilson),0.610,1.270
3,1:05,1,10,ATL 35,7,13,Michael Turner right guard for 3 yards (tackle by Terrell Suggs and Terrence Cody),1.270,1.130
3,0:21,2,7,ATL 38,7,13,Michael Turner middle for 3 yards (tackle by Terrence Cody),1.130,0.830
Quarter,Time,Down,ToGo,Location,BAL,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,4,ATL 41,7,13,Matt Ryan pass complete short left to Brian Finneran for 9 yards (tackle by Lardarius Webb),0.830,2.260
4,14:15,1,10,,7,13,Matt Ryan pass complete deep left to Roddy White for 17 yards (tackle by Ed Reed and Josh Wilson),2.260,3.380
4,13:43,1,10,BAL 33,7,13,Matt Ryan pass incomplete short right intended for Tony Gonzalez,3.380,2.840
4,13:38,2,10,BAL 33,7,13,Matt Ryan pass incomplete short right intended for Michael Jenkins,2.840,2.150
4,13:33,3,10,BAL 33,7,13,"Matt Ryan pass complete short middle to Jason Snelling for 7 yards (tackle by Tavares Gooden). Penalty on Terrell Suggs: Face Mask (15 Yards), 13 yards",2.150,4.710
4,13:11,1,10,BAL 13,7,13,Matt Ryan pass complete short left to Jason Snelling for 8 yards (tackle by Ray Lewis),4.710,5.540
4,12:25,2,2,BAL 5,7,13,Michael Turner right guard for 1 yard (tackle by Lardarius Webb and Ray Lewis),5.540,5.010
4,11:39,,,,7,13,Timeout #1 by Atlanta Falcons,0.000,5.010
4,11:39,3,1,BAL 4,7,19,"Matt Ryan pass complete short right to Roddy White for 4 yards, touchdown",5.010,7.000
4,,,,BAL 2,7,20,Matt Bryant kicks extra point good,0.000,0.000
4,,,,ATL 30,7,20,"Michael Koenen kicks off 64 yards, returned by David Reed for 19 yards (tackle by Gartrell Johnson)",0.000,0.610
4,11:29,1,10,BAL 25,7,20,Joe Flacco pass complete short right to Ed Dickson for 4 yards (tackle by Mike Peterson),0.610,0.600
4,10:53,2,6,BAL 29,7,20,Ray Rice left end for 2 yards (tackle by Stephen Nicholas),0.600,0.170
4,10:13,3,4,BAL 31,7,20,Joe Flacco pass complete short left to Anquan Boldin for 11 yards (tackle by Curtis Lofton and Stephen Nicholas),0.170,1.730
4,9:36,1,10,BAL 42,7,20,Joe Flacco pass complete short right to Todd Heap for 17 yards (tackle by Curtis Lofton),1.730,2.850
4,8:58,1,10,ATL 41,7,20,Joe Flacco pass incomplete short left intended for Derrick Mason,2.850,2.310
4,8:54,2,10,ATL 41,7,20,Ray Rice right guard for 2 yards (tackle by Kroy Biermann),2.310,1.880
4,8:14,3,8,ATL 39,7,20,Joe Flacco pass complete short left to Ray Rice for 13 yards (tackle by Brian Williams),1.880,3.840
4,7:36,1,10,ATL 26,7,20,Joe Flacco pass complete short left to Anquan Boldin for 9 yards (tackle by William Moore),3.840,4.640
4,7:06,2,1,ATL 17,7,20,Ray Rice left tackle for 6 yards (tackle by Curtis Lofton),4.640,4.840
4,6:25,1,10,ATL 11,7,20,Willis McGahee middle for 5 yards (tackle by Curtis Lofton and Chauncey Davis),4.840,5.080
4,5:49,2,5,ATL 6,13,20,"Joe Flacco pass complete short right to Derrick Mason for 6 yards, touchdown",5.080,7.000
4,,,,ATL 2,14,20,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,BAL 30,14,20,"Billy Cundiff kicks off 70 yards, touchback",0.000,0.280
4,5:42,1,10,ATL 20,14,20,Matt Ryan pass incomplete short right intended for Roddy White,0.280,-0.270
4,5:36,2,10,ATL 20,14,20,Matt Ryan pass complete deep right to Roddy White for 16 yards (tackle by Chris Carr),-0.270,1.330
4,4:52,1,10,ATL 36,14,20,Michael Turner left end for 3 yards (tackle by Jameel McClain and Haloti Ngata),1.330,1.200
4,4:06,2,7,ATL 39,14,20,Jason Snelling middle for 3 yards (tackle by Ray Lewis),1.200,0.890
4,3:23,3,4,ATL 42,14,20,Matt Ryan pass incomplete short right intended for Roddy White,0.890,-0.590
4,3:19,4,4,ATL 42,14,20,"Michael Koenen punts 53 yards, returned by Ed Reed for 6 yards (tackle by Antone Smith). Penalty on Eric Weems: Player Out of Bounds on , 5 yards (no play)",-0.590,-0.910
4,3:06,4,9,ATL 37,14,20,Michael Koenen punts 35 yards,-0.910,-0.810
4,2:57,1,10,BAL 28,14,20,Joe Flacco pass incomplete deep middle intended for T.J. Houshmandzadeh,0.810,0.260
4,2:52,2,10,BAL 28,14,20,Joe Flacco pass complete deep right to Derrick Mason for 22 yards (tackle by Brent Grimes),0.260,2.260
4,2:43,1,10,,14,20,Joe Flacco pass incomplete short left intended for T.J. Houshmandzadeh (defended by John Abraham),2.260,1.710
4,2:39,2,10,,14,20,Joe Flacco pass complete short right to Ray Rice for 6 yards (tackle by Stephen Nicholas and Curtis Lofton),1.710,1.820
4,2:00,3,4,ATL 44,14,20,Joe Flacco pass complete short right to Anquan Boldin for 9 yards (tackle by Brent Grimes). Penalty on Brent Grimes: Defensive Holding (Declined),1.820,3.250
4,1:55,1,10,ATL 35,14,20,Joe Flacco pass complete short left to Ray Rice for 24 yards (tackle by William Moore),3.250,4.840
4,1:18,1,10,ATL 11,14,20,Ray Rice left tackle for 2 yards (tackle by Chauncey Davis),4.840,4.510
4,1:10,,,,14,20,Timeout #2 by Atlanta Falcons,0.000,4.510
4,1:10,2,8,ATL 9,20,20,"Joe Flacco pass complete short middle to Todd Heap for 9 yards, touchdown",4.510,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,,,,ATL 2,21,20,Billy Cundiff kicks extra point good,0.000,0.000
4,,,,BAL 30,21,20,"Billy Cundiff kicks off 70 yards, touchback",0.000,0.280
4,1:05,1,10,ATL 20,21,20,Matt Ryan pass incomplete short middle intended for Jason Snelling,0.280,-0.270
4,1:00,2,10,ATL 20,21,20,Matt Ryan pass incomplete short middle intended for Harry Douglas,-0.270,-0.960
4,0:55,3,10,ATL 20,21,20,Matt Ryan pass complete deep left to Michael Jenkins for 24 yards,-0.960,1.860
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
4,0:50,,,,21,20,Timeout #1 by Baltimore Ravens,0.000,1.860
4,0:50,1,10,ATL 44,21,20,Matt Ryan pass complete short left to Roddy White for 15 yards (tackle by Josh Wilson),1.860,2.850
4,0:35,1,10,BAL 41,21,20,Matt Ryan spiked the ball,2.850,2.310
4,0:34,2,10,BAL 41,21,20,Matt Ryan pass incomplete short left intended for Roddy White,2.310,1.620
4,0:30,3,10,BAL 41,21,20,"Matt Ryan pass incomplete short middle intended for Tony Gonzalez. Penalty on Tavares Gooden: Defensive Pass Interfere, 8 yards (no play)",1.620,3.380
4,0:27,1,10,BAL 33,21,26,"Matt Ryan pass complete deep left to Roddy White for 33 yards, touchdown",3.380,7.000
4,0:20,,,,21,26,Timeout #3 by Atlanta Falcons,0.000,0.000
4,,,,,21,26,"Two Point Attempt: Matt Ryan pass incomplete intended for Jason Snelling, conversion fails",1.000,-1.000
4,,,,ATL 30,21,26,"Michael Koenen kicks off 75 yards, returned by David Reed for 14 yards (tackle by Eric Weems)",0.000,-0.380
4,0:16,1,10,BAL 9,21,26,Joe Flacco pass complete deep middle to Todd Heap for 18 yards (tackle by Curtis Lofton),-0.380,0.740
4,0:10,,,,21,26,Timeout #2 by Baltimore Ravens,0.000,0.740
4,0:10,1,10,BAL 27,21,26,Joe Flacco sacked by John Abraham for -3 yards,0.740,-0.210
4,0:02,,,,21,26,Timeout #3 by Baltimore Ravens,0.000,-0.210
4,0:02,2,13,BAL 24,21,26,"Penalty on BAL: Offensive 12 On-field, 5 yards (no play)",-0.210,-0.940
4,0:02,2,18,BAL 19,21,26,"Joe Flacco pass complete short left to T.J. Houshmandzadeh for 6 yards. T.J. Houshmandzadeh fumbles, ball out of bounds at BAL-37",-0.940,-0.760
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
