Unnamed: 0,CIN,SFO
First Downs,29,24
Rush-Yds-TDs,27-134-1,23-113-1
Cmp-Att-Yd-TD-INT,28-32-283-3-0,22-31-365-1-2
Sacked-Yards,3-17,2-18
Net Pass Yards,266,347
Total Yards,400,460
Fumbles-Lost,2-1,1-1
Turnovers,1,3
Penalties-Yards,1-15,5-54
Third Down Conv.,3-8,5-9
Fourth Down Conv.,0-0,0-0
Time of Possession,31:23,28:37
