Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
1,8:17,2,6,SFO 7,6,0,"Joe Burrow pass complete short right to Tyler Boyd for 7 yards, touchdown",4.890,7.000
1,8:11,,,SFO 15,7,0,Evan McPherson kicks extra point good,0.000,0.000
1,8:11,,,CIN 35,7,0,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,8:11,1,10,SFO 25,7,0,Brock Purdy pass complete short left to Christian McCaffrey for 13 yards (tackle by Germaine Pratt),0.610,1.470
1,7:34,1,10,SFO 38,7,0,Brock Purdy pass complete short middle to Ray-Ray McCloud for 2 yards (tackle by Sam Hubbard),1.470,1.190
1,6:53,2,8,SFO 40,7,0,Christian McCaffrey left end for no gain (tackle by Germaine Pratt),1.190,0.500
1,6:07,3,8,SFO 40,7,0,Brock Purdy scrambles left end for 16 yards (tackle by Mike Hilton),0.500,2.650
1,5:35,1,10,CIN 44,7,0,Brock Purdy pass complete deep right to Brandon Aiyuk for 31 yards (tackle by Logan Wilson and Cam Taylor-Britt),2.650,4.710
1,4:50,1,10,CIN 13,7,0,Brock Purdy pass complete short left to George Kittle for 6 yards (tackle by DJ Turner),4.710,5.150
1,4:05,2,4,CIN 7,7,0,Elijah Mitchell up the middle for 5 yards (tackle by D.J. Reader and B.J. Hill),5.150,6.740
1,3:23,1,2,CIN 2,7,6,"Christian McCaffrey up the middle for 2 yards, touchdown",6.740,7.000
1,3:19,,,CIN 15,7,7,Jake Moody kicks extra point good,0.000,0.000
1,3:19,,,SFO 35,7,7,"Jake Moody kicks off 64 yards, returned by Trayveon Williams for 41 yards (tackle by Isaiah Oliver and Jordan Mason)",0.000,1.730
1,3:11,1,10,CIN 42,7,7,Joe Burrow pass complete short left to Joe Mixon for 12 yards (tackle by Kevin Givens and Isaiah Oliver),1.730,2.520
1,2:26,1,10,SFO 46,7,7,Joe Mixon right end for 5 yards (tackle by Dre Greenlaw),2.520,2.650
1,1:55,2,5,SFO 41,7,7,Tyler Boyd right end for 6 yards (tackle by Dre Greenlaw and Fred Warner),2.650,3.250
1,1:17,1,10,SFO 35,7,7,Joe Burrow pass complete short middle to Tyler Boyd for 22 yards (tackle by Tashaun Gipson),3.250,4.710
1,0:36,1,10,SFO 13,7,7,Joe Mixon right tackle for 11 yards (tackle by Talanoa Hufanga),4.710,6.740
1,0:01,1,2,SFO 2,13,7,"Joe Burrow pass complete short right to Andrei Iosivas for 2 yards, touchdown",6.740,7.000
1,0:00,,,SFO 15,14,7,Evan McPherson kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,,,CIN 35,14,7,"Evan McPherson kicks off 67 yards, returned by Ray-Ray McCloud for 16 yards (tackle by Andrei Iosivas)",0.000,-0.280
2,14:56,1,10,SFO 14,14,7,Brock Purdy scrambles left end for 8 yards (tackle by Logan Wilson),-0.280,0.420
2,14:31,2,2,SFO 22,14,7,Elijah Mitchell up the middle for -4 yards (tackle by Mike Hilton),0.420,-0.920
2,13:45,3,6,SFO 18,14,7,Brock Purdy pass incomplete short middle intended for Brandon Aiyuk (defended by Logan Wilson) (defended by B.J. Hill),-0.920,-2.240
2,13:40,4,6,SFO 18,14,7,Mitch Wishnowsky punts 62 yards downed by Ambry Thomas,-2.240,-0.280
2,13:30,1,10,CIN 20,14,7,Joe Burrow pass complete short right to Irv Smith for 4 yards (tackle by Fred Warner),0.280,0.270
2,12:53,2,6,CIN 24,14,7,Joe Mixon up the middle for 4 yards (tackle by Fred Warner),0.270,0.100
2,12:19,3,2,CIN 28,14,7,"Joe Burrow pass complete short right to Ja'Marr Chase for 7 yards (tackle by Charvarius Ward and Tashaun Gipson). Penalty on Isaiah Oliver: Use of Helmet / Defense, 15 yards (accepted)",0.100,2.260
2,11:57,1,10,CIN 50,14,7,Joe Burrow scrambles up the middle for 1 yard (tackle by Nick Bosa),2.260,1.850
2,11:18,2,9,SFO 49,14,7,Joe Burrow pass complete short left to Ja'Marr Chase for no gain (tackle by Isaiah Oliver),1.850,1.160
2,10:32,,,,,,Timeout #1 by San Francisco 49ers,,
2,10:32,3,9,SFO 49,14,7,Joe Burrow up the middle for 10 yards (tackle by Talanoa Hufanga),1.160,2.980
2,9:54,1,10,SFO 39,14,7,Joe Burrow pass complete short left to Irv Smith for 11 yards (tackle by Dre Greenlaw),2.980,3.710
2,9:14,1,10,SFO 28,14,7,Joe Mixon right end for 3 yards (tackle by Randy Gregory),3.710,3.570
2,8:34,2,7,SFO 25,14,7,Joe Mixon left guard for no gain (tackle by Isaiah Oliver),3.570,2.870
2,7:53,3,7,SFO 25,14,7,Joe Burrow sacked by Arik Armstead for -7 yards,2.870,1.240
2,7:08,4,14,SFO 32,14,7,Evan McPherson 50 yard field goal no good,1.240,-1.600
2,7:03,1,10,SFO 40,14,7,Brock Purdy pass complete deep right to Brandon Aiyuk for 23 yards (tackle by Jordan Battle),1.600,3.120
2,6:29,1,10,CIN 37,14,7,Brock Purdy scrambles right end for 9 yards (tackle by Sam Hubbard),3.120,3.790
2,5:52,2,1,CIN 28,14,7,Christian McCaffrey right tackle for 4 yards (tackle by Cam Taylor-Britt and Josh Tupou),3.790,3.970
2,5:13,1,10,CIN 24,14,7,Elijah Mitchell up the middle for 1 yard (tackle by Mike Hilton and Sam Hubbard),3.970,3.570
2,4:31,2,9,CIN 23,14,7,"Christian McCaffrey for no gain. Penalty on Jauan Jennings: Offensive Holding, 10 yards (accepted) (no play)",3.570,2.150
2,4:19,2,20,CIN 33,14,7,Brock Purdy pass complete short middle to Christian McCaffrey for 5 yards (tackle by Mike Hilton),2.150,2.210
2,3:38,3,14,CIN 28,14,7,Brock Purdy scrambles left tackle for 10 yards (tackle by Jordan Battle),2.210,2.320
2,2:48,4,4,CIN 18,14,10,Jake Moody 36 yard field goal good,2.320,3.000
2,2:44,,,SFO 35,14,10,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
2,2:44,1,10,CIN 25,14,10,Joe Mixon up the middle for 12 yards (tackle by Tashaun Gipson),0.610,1.400
2,2:00,1,10,CIN 37,14,10,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Isaiah Oliver),1.400,2.070
2,1:54,2,1,CIN 46,14,10,Joe Burrow pass complete short left to Tee Higgins for 9 yards (tackle by Deommodore Lenoir and Talanoa Hufanga),2.070,2.590
2,1:35,1,10,SFO 45,14,10,Joe Burrow pass complete short right to Ja'Marr Chase for 8 yards,2.590,3.190
2,1:23,2,1,SFO 37,14,10,Trayveon Williams up the middle for 7 yards (tackle by Arik Armstead and Clelin Ferrell),3.190,3.580
2,1:02,1,10,SFO 30,14,10,Joe Burrow pass complete short middle to Tyler Boyd for 11 yards (tackle by Tashaun Gipson and Isaiah Oliver),3.580,4.310
2,0:52,,,,,,Timeout #1 by Cincinnati Bengals,,
2,0:52,1,10,SFO 19,14,10,Joe Burrow pass complete short left to Ja'Marr Chase for 9 yards (tackle by Dre Greenlaw and Fred Warner),4.310,5.360
2,0:41,,,,,,Timeout #2 by Cincinnati Bengals,,
2,0:41,2,1,SFO 10,14,10,Joe Burrow pass complete short left to Joe Mixon for 7 yards (tackle by Talanoa Hufanga),5.360,6.510
2,0:38,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:38,1,3,SFO 3,14,10,"Joe Burrow pass complete short right to Irv Smith for -1 yards. Irv Smith fumbles (forced by Clelin Ferrell), recovered by Isaiah Oliver at SF-5 (tackle by Clelin Ferrell) (tackle by Clelin Ferrell) (tackle by Isaiah Oliver)",6.510,0.380
2,0:31,1,10,SFO 5,14,10,Brock Purdy pass complete deep middle to George Kittle for 34 yards (tackle by Daxton Hill),-0.380,1.530
2,0:24,,,,,,Timeout #3 by San Francisco 49ers,,
2,0:24,1,10,SFO 39,14,10,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,1.530,0.990
2,0:19,2,10,SFO 39,14,10,Brock Purdy pass incomplete short left,0.990,0.300
2,0:13,3,10,SFO 39,14,10,Christian McCaffrey right tackle for 16 yards (tackle by Logan Wilson and Nick Scott),0.300,2.590
Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,14,10,"Jake Moody kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CIN 25,14,10,Joe Burrow pass incomplete short right intended for Tee Higgins (defended by Charvarius Ward),0.610,0.060
3,14:56,2,10,CIN 25,14,10,"Joe Burrow pass incomplete intended for Ja'Marr Chase. Penalty on Charvarius Ward: Defensive Pass Interference, 14 yards (accepted) (no play)",0.060,1.530
3,14:52,1,10,CIN 39,14,10,Joe Mixon up the middle for 1 yard (tackle by Talanoa Hufanga and Arik Armstead),1.530,1.120
3,14:16,2,9,CIN 40,14,10,Joe Burrow scrambles right tackle for 20 yards (tackle by Talanoa Hufanga),1.120,2.920
3,13:31,1,10,SFO 40,14,10,Joe Mixon right end for 1 yard (tackle by Charvarius Ward and Clelin Ferrell),2.920,2.510
3,12:49,2,9,SFO 39,14,10,Joe Burrow sacked by Arik Armstead for -7 yards,2.510,0.890
3,12:06,3,16,SFO 46,14,10,Joe Burrow pass complete short middle to Ja'Marr Chase for 8 yards (tackle by Talanoa Hufanga),0.890,0.720
3,11:14,4,8,SFO 38,17,10,Evan McPherson 56 yard field goal good,0.720,3.000
3,11:09,,,CIN 35,17,10,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
3,11:09,1,10,SFO 25,17,10,"Christian McCaffrey for no gain. Penalty on Spencer Burford: Offensive Holding, 10 yards (accepted) (no play)",0.610,-0.410
3,10:49,1,20,SFO 15,17,10,Brock Purdy scrambles left end for 2 yards (tackle by D.J. Reader),-0.410,-1.150
3,10:05,2,18,SFO 17,17,10,Brock Purdy pass complete deep middle to George Kittle for 32 yards (tackle by Daxton Hill),-1.150,2.190
3,9:22,1,10,SFO 49,17,10,Brock Purdy pass incomplete short left intended for Brandon Aiyuk,2.190,1.650
3,9:14,2,10,SFO 49,17,10,Christian McCaffrey up the middle for 3 yards (tackle by Cameron Sample),1.650,1.360
3,8:34,3,7,CIN 48,17,10,Brock Purdy pass incomplete short middle intended for George Kittle,1.360,0.070
3,8:30,4,7,CIN 48,17,10,"Mitch Wishnowsky punts 29 yards, fair catch by Trenton Irwin at CIN-19",0.070,-0.150
3,8:22,1,10,CIN 19,17,10,Joe Mixon left end for 5 yards (tackle by Javon Kinlaw and Tashaun Gipson),0.150,0.340
3,7:47,2,5,CIN 24,17,10,Ja'Marr Chase right end for -8 yards (tackle by Isaiah Oliver),0.340,-1.590
3,7:05,3,13,CIN 16,17,10,Joe Burrow pass complete short right to Irv Smith for 11 yards (tackle by Fred Warner and Dre Greenlaw),-1.590,-1.570
3,6:18,4,2,CIN 27,17,10,"Brad Robbins punts 49 yards, fair catch by Ray-Ray McCloud at SF-24",-1.570,-0.540
3,6:09,1,10,SFO 24,17,10,Brock Purdy pass complete short left to Brandon Aiyuk for 15 yards (tackle by Cam Taylor-Britt),0.540,1.530
3,5:30,1,10,SFO 39,17,10,Brock Purdy pass complete short left to George Kittle for 7 yards (tackle by Myles Murphy),1.530,1.930
3,4:50,2,3,SFO 46,17,10,Brock Purdy pass complete short right to George Kittle for 20 yards (tackle by Nick Scott),1.930,3.310
3,4:03,1,10,CIN 34,17,10,Christian McCaffrey left tackle for 3 yards (tackle by Nick Scott and Sam Hubbard),3.310,3.180
3,3:19,2,7,CIN 31,17,10,Christian McCaffrey up the middle for 6 yards (tackle by Sam Hubbard),3.180,3.270
3,2:34,3,1,CIN 25,17,10,Kyle Juszczyk up the middle for 1 yard (tackle by B.J. Hill),3.270,3.970
3,1:45,1,10,CIN 24,17,10,Christian McCaffrey right end for 4 yards (tackle by Germaine Pratt and Daxton Hill),3.970,3.970
3,0:58,2,6,CIN 20,17,10,Brock Purdy scrambles left end for 12 yards (tackle by Logan Wilson),3.970,5.370
3,0:15,1,8,CIN 8,17,10,"Brock Purdy pass short right intended for Elijah Mitchell is intercepted by Germaine Pratt at CIN-10 and returned for 9 yards (tackle by Brock Purdy). Penalty on Aaron Banks: Ineligible Downfield Pass, 5 yards (declined)",5.370,-0.150
3,0:04,1,10,CIN 19,17,10,Joe Burrow pass complete deep left to Tee Higgins for 33 yards (tackle by Tashaun Gipson),0.150,2.390
Quarter,Time,Down,ToGo,Location,CIN,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 48,17,10,Joe Burrow sacked by and Clelin Ferrell for -3 yards and Nick Bosa for -3 yards,2.390,1.440
4,14:14,2,13,CIN 49,17,10,Joe Mixon up the middle for 6 yards (tackle by Dre Greenlaw),1.440,1.550
4,13:31,3,7,SFO 45,17,10,"Joe Burrow pass complete to Ja'Marr Chase for no gain. Ja'Marr Chase fumbles (forced by Charvarius Ward), recovered by Tashaun Gipson at SF-38 (tackle by Orlando Brown) Replay Assistant challenged the fumble ruling, and the original play was overturned. Joe Burrow pass incomplete short right intended for Ja'Marr Chase (defended by Charvarius Ward)",1.550,0.270
4,13:26,4,7,SFO 45,17,10,"Brad Robbins punts 45 yards, touchback.",0.270,-0.280
4,13:17,1,10,SFO 20,17,10,Brock Purdy pass short middle intended for Brandon Aiyuk is intercepted by Logan Wilson at SF-33 and returned for 16 yards (tackle by George Kittle),0.280,-4.440
4,13:08,1,10,SFO 17,23,10,"Joe Burrow pass complete deep right to Ja'Marr Chase for 17 yards, touchdown",4.440,7.000
4,13:04,,,SFO 15,24,10,Evan McPherson kicks extra point good,0.000,0.000
4,13:04,,,CIN 35,24,10,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,13:04,1,10,SFO 25,24,10,Brock Purdy pass complete short right to Christian McCaffrey for 9 yards (tackle by Germaine Pratt and Logan Wilson),0.610,1.280
4,12:27,2,1,SFO 34,24,10,Christian McCaffrey left tackle for 3 yards (tackle by Zachary Carter),1.280,1.400
4,11:51,1,10,SFO 37,24,10,Brock Purdy pass complete deep right to Brandon Aiyuk for 25 yards (tackle by Logan Wilson),1.400,3.050
4,11:09,1,10,CIN 38,24,10,Brock Purdy pass complete short middle to Christian McCaffrey for 5 yards (tackle by Logan Wilson),3.050,3.180
4,10:30,2,5,CIN 33,24,10,Brock Purdy pass incomplete short right intended for Christian McCaffrey,3.180,2.480
4,10:24,3,5,CIN 33,24,10,Brock Purdy pass complete short middle to Brandon Aiyuk for 15 yards (tackle by Cam Taylor-Britt),2.480,4.370
4,9:45,1,10,CIN 18,24,10,Christian McCaffrey up the middle for 4 yards (tackle by Logan Wilson),4.370,4.430
4,9:09,2,6,CIN 14,24,10,Brock Purdy pass incomplete short middle intended for George Kittle,4.430,3.630
4,9:03,3,6,CIN 14,24,10,Brock Purdy pass complete short middle to George Kittle for 10 yards (tackle by DJ Turner),3.630,6.280
4,8:18,1,4,CIN 4,24,16,"Brock Purdy pass complete short middle to Christian McCaffrey for 4 yards, touchdown",6.280,7.000
4,8:12,,,CIN 15,24,17,Jake Moody kicks extra point good,0.000,0.000
4,8:12,,,SFO 35,24,17,"Jake Moody kicks off 55 yards, returned by Trayveon Williams for 12 yards (tackle by George Odum and Dee Winters)",0.000,0.410
4,8:07,1,10,CIN 22,24,17,Joe Burrow pass complete short left to Trenton Irwin for 3 yards (tackle by Talanoa Hufanga),0.410,0.270
4,7:33,2,7,CIN 25,24,17,Joe Burrow pass complete short right to Trenton Irwin for 21 yards (tackle by Talanoa Hufanga),0.270,1.990
4,6:43,1,10,CIN 46,24,17,Ja'Marr Chase left end for no gain (tackle by Isaiah Oliver),1.990,1.450
4,6:05,2,10,CIN 46,24,17,Joe Burrow pass complete deep left to Ja'Marr Chase for 20 yards,1.450,3.310
4,5:31,1,10,SFO 34,24,17,Joe Mixon left tackle for 4 yards (tackle by Charvarius Ward and Fred Warner),3.310,3.310
4,4:43,2,6,SFO 30,24,17,Joe Burrow scrambles right guard for 10 yards (tackle by Dre Greenlaw and Deommodore Lenoir),3.310,4.240
4,4:24,,,,,,Timeout #1 by San Francisco 49ers,,
4,4:24,1,10,SFO 20,24,17,Joe Mixon left end for 9 yards (tackle by Deommodore Lenoir),4.240,5.260
4,3:49,2,1,SFO 11,24,17,Joe Burrow up the middle for 3 yards (tackle by Oren Burks),5.260,5.140
4,3:43,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:43,1,9,SFO 9,24,17,Joe Mixon left tackle for 3 yards (tackle by Clelin Ferrell and Isaiah Oliver),5.140,5.150
4,2:59,2,5,SFO 5,30,17,"Joe Mixon left end for 5 yards, touchdown",5.150,7.000
4,2:54,,,SFO 15,31,17,Evan McPherson kicks extra point good,0.000,0.000
4,2:54,,,CIN 35,31,17,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
4,2:54,1,10,SFO 25,31,17,Brock Purdy pass complete short right to George Kittle for 14 yards (tackle by Cam Taylor-Britt and Germaine Pratt),0.610,1.530
4,2:32,1,10,SFO 39,31,17,Brock Purdy pass complete short middle to George Kittle for 8 yards (tackle by Logan Wilson),1.530,2.070
4,2:16,2,2,SFO 47,31,17,Brock Purdy pass complete short middle to George Kittle for 18 yards (tackle by Logan Wilson),2.070,3.250
4,2:03,1,10,CIN 35,31,17,Brock Purdy sacked by Sam Hubbard for -6 yards,3.250,1.890
4,2:00,2,16,CIN 41,31,17,"Brock Purdy pass is intercepted by Daxton Hill at CIN-32 and returned for no gain. Penalty on D.J. Reader: Roughing the Passer, 15 yards (accepted) (no play)",1.890,3.840
4,1:53,1,10,CIN 26,31,17,"Brock Purdy sacked by Trey Hendrickson for -12 yards. Brock Purdy fumbles (forced by Trey Hendrickson), recovered by B.J. Hill at CIN-38 (tackle by Trey Hendrickson)",3.840,-1.470
4,1:45,1,10,CIN 38,31,17,Joe Mixon left tackle for -2 yards (tackle by Fred Warner),1.470,0.650
4,1:42,,,,,,Timeout #3 by San Francisco 49ers,,
4,1:42,2,12,CIN 36,31,17,Trayveon Williams up the middle for -1 yards (tackle by Tashaun Gipson and Fred Warner),0.650,-0.160
4,0:57,,,,,,Timeout #1 by Cincinnati Bengals,,
4,0:57,3,13,CIN 35,31,17,Joe Burrow kneels for -1 yards,-0.160,-1.110
4,0:16,,,,,,Timeout #2 by Cincinnati Bengals,,
4,0:16,4,14,CIN 34,31,17,Brad Robbins punts 46 yards out of bounds,-1.110,-0.280
4,0:12,1,10,SFO 20,31,17,Brock Purdy pass complete short left to Christian McCaffrey for 28 yards (tackle by Jay Tufele),0.280,2.130
4,0:04,1,10,SFO 48,31,17,Brock Purdy pass complete short right to Ray-Ray McCloud for 41 yards (tackle by Daxton Hill),2.130,4.840
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
