Quarter,Time,Down,ToGo,Location,BUF,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Dan Carpenter kicks off 72 yards, touchback",0.000,-0.280
1,15:00,1,10,JAX 20,0,0,Jordan Todman up the middle for 2 yards (tackle by Kyle Williams),0.280,0.000
1,14:36,2,8,JAX 22,0,0,Chad Henne pass complete short middle to Marcedes Lewis for 25 yards (tackle by Jairus Byrd),0.000,2.060
1,14:09,1,10,JAX 47,0,0,Chad Henne pass incomplete short left intended for Marcedes Lewis is intercepted by Aaron Williams at BUF-41 and returned for 34 yards (tackle by Jordan Todman),2.060,-3.910
1,13:58,1,10,JAX 25,0,0,C.J. Spiller left end for 1 yard (tackle by Paul Posluszny),3.910,3.500
1,13:26,2,9,JAX 24,0,0,EJ Manuel pass incomplete deep right intended for Robert Woods,3.500,2.810
1,13:20,3,9,JAX 24,0,0,EJ Manuel pass incomplete short left intended for T.J. Graham,2.810,1.870
1,13:15,4,9,JAX 24,3,0,Dan Carpenter 42 yard field goal good,1.870,3.000
1,13:15,,,BUF 35,3,0,"Dan Carpenter kicks off 73 yards, touchback",0.000,1.870
1,13:10,4,9,JAX 24,3,0,Timeout #1 by Jacksonville Jaguars,1.870,-0.280
1,13:10,1,10,JAX 20,3,0,Chad Henne sacked by Kyle Williams for -10 yards,0.280,-1.510
1,12:38,2,20,JAX 10,3,0,Chad Henne pass incomplete short middle intended for Jordan Todman (defended by Jerry Hughes),-1.510,-2.590
1,12:34,3,20,JAX 10,3,0,Chad Henne sacked by Marcell Dareus and Kyle Williams for -8 yards,-2.590,-2.490
1,12:09,4,28,JAX 2,3,0,"Bryan Anger punts 41 yards, out of bounds",-2.490,-2.720
1,12:02,1,10,JAX 43,3,0,"EJ Manuel for -2 yards. EJ Manuel fumbles, ball out of bounds at JAX-45",2.720,1.910
1,11:30,2,12,JAX 45,3,0,Frank Summers up the middle for 4 yards (tackle by Paul Posluszny),1.910,1.750
1,11:13,3,8,JAX 41,3,0,EJ Manuel for 12 yards (tackle by Dwayne Gratz),1.750,3.640
