Quarter,Time,Tm,Detail,BUF,JAX
1.0,13:10,Bills,Dan Carpenter 42 yard field goal,3,0
,8:07,Jaguars,Josh Scobee 32 yard field goal,3,3
2.0,14:54,Jaguars,Ace Sanders 12 yard pass from Chad Henne (Josh Scobee kick),3,10
,7:07,Bills,Robert Woods 7 yard pass from EJ Manuel (Dan Carpenter kick),10,10
,2:14,Bills,EJ Manuel 8 yard rush (Dan Carpenter kick),17,10
,0:00,Bills,Dan Carpenter 40 yard field goal,20,10
3.0,4:43,Jaguars,Josh Scobee 55 yard field goal,20,13
4.0,13:50,Jaguars,Marcedes Lewis 13 yard pass from Chad Henne (Josh Scobee kick),20,20
,9:35,Bills,Frank Summers 1 yard pass from EJ Manuel (Dan Carpenter kick),27,20
