Unnamed: 0,DET,CAR
First Downs,8,22
Rush-Yds-TDs,21-53-0,36-124-0
Cmp-Att-Yd-TD-INT,7-19-53-0-1,29-35-260-2-1
Sacked-Yards,1-0,0-0
Net Pass Yards,53,260
Total Yards,106,384
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,7-55,6-35
Third Down Conv.,3-11,7-14
Fourth Down Conv.,0-0,0-2
Time of Possession,21:46,38:14
