Unnamed: 0,PHI,DET
First Downs,18,21
Rush-Yds-TDs,21-116-0,27-80-0
Cmp-Att-Yd-TD-INT,25-33-238-2-1,19-25-180-3-0
Sacked-Yards,3-8,4-16
Net Pass Yards,230,164
Total Yards,346,244
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,14-111,2-18
Third Down Conv.,5-11,3-9
Fourth Down Conv.,0-0,2-2
Time of Possession,29:36,30:24
