Quarter,Time,Tm,Detail,PHI,DET
1.0,9:37,Lions,Theo Riddick 1 yard pass from Matthew Stafford (Matt Prater kick),0,7
,0:53,Lions,Theo Riddick 17 yard pass from Matthew Stafford (Matt Prater kick),0,14
2.0,10:21,Eagles,Ryan Mathews 1 yard pass from Carson Wentz (Caleb Sturgis kick),7,14
,3:08,Lions,Marvin Jones 1 yard pass from Matthew Stafford (Matt Prater kick),7,21
,0:00,Eagles,Caleb Sturgis 50 yard field goal,10,21
3.0,9:18,Eagles,Josh Huff 1 yard pass from Carson Wentz (Caleb Sturgis kick),17,21
,6:47,Eagles,Caleb Sturgis 33 yard field goal,20,21
4.0,6:40,Eagles,Caleb Sturgis 49 yard field goal,23,21
,1:28,Lions,Matt Prater 29 yard field goal,23,24
