#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,ARI 38,7,3:32,27,Downs
2,1,10:35,ARI 48,6,2:58,31,Interception
3,1,5:41,ARI 20,5,2:42,6,Punt
4,1,0:45,CAR 26,3,0:50,26,Touchdown
5,2,12:29,ARI 22,6,2:03,57,Field Goal
6,2,8:35,ARI 10,6,3:27,90,Touchdown
7,2,2:04,ARI 19,3,0:27,8,Punt
8,2,0:42,ARI 43,5,0:36,53,Interception
9,3,12:05,ARI 25,12,6:54,44,Field Goal
10,3,2:31,ARI 21,4,2:04,8,Fumble
11,4,14:57,ARI 24,5,3:03,26,Punt
12,4,6:54,ARI 19,10,4:50,48,Interception
13,4,1:41,ARI 42,4,0:46,9,Downs
