Quarter,Time,Tm,Detail,CAR,ARI
1.0,5:41,Panthers,John Kasay 46 yard field goal,3,0
2.0,14:55,Cardinals,Larry Fitzgerald 26 yard pass from Josh McCown (Neil Rackers kick),3,7
,12:29,Panthers,Steve Smith Sr. 65 yard pass from Jake Delhomme (John Kasay kick),10,7
,10:26,Cardinals,Neil Rackers 39 yard field goal,10,10
,5:08,Cardinals,Anquan Boldin 20 yard pass from Josh McCown (Neil Rackers kick),10,17
3.0,5:11,Cardinals,Neil Rackers 49 yard field goal,10,20
4.0,14:57,Panthers,Stephen Davis 1 yard rush (John Kasay kick),17,20
,6:54,Panthers,Steve Smith Sr. 4 yard pass from Jake Delhomme (John Kasay kick),24,20
