Unnamed: 0,CAR,ARI
First Downs,15,19
Rush-Yds-TDs,27-87-1,27-72-0
Cmp-Att-Yd-TD-INT,18-29-243-2-1,29-46-398-2-3
Sacked-Yards,0-0,1-2
Net Pass Yards,243,396
Total Yards,330,468
Fumbles-Lost,1-1,1-1
Turnovers,2,4
Penalties-Yards,4-30,8-55
Third Down Conv.,4-11,7-16
Fourth Down Conv.,0-0,1-4
Time of Possession,25:48,34:12
