Quarter,Time,Tm,Detail,PHI,CLE
1.0,9:12,Browns,Phil Dawson 43 yard field goal,0,3
2.0,14:58,Eagles,Alex Henery 42 yard field goal,3,3
,0:17,Eagles,Jeremy Maclin 18 yard pass from Michael Vick (Alex Henery kick),10,3
3.0,4:57,Browns,Phil Dawson 42 yard field goal,10,6
4.0,14:15,Browns,Phil Dawson 22 yard field goal,10,9
,13:59,Browns,D'Qwell Jackson 27 yard interception return (Phil Dawson kick),10,16
,1:18,Eagles,Clay Harbor 4 yard pass from Michael Vick (Alex Henery kick),17,16
