Quarter,Time,Down,ToGo,Location,PHI,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Phil Dawson kicks off 57 yards, returned by Stanley Havili for 18 yards (tackle by L.J. Fort)",0.000,0.670
1,14:56,1,10,PHI 26,0,0,Michael Vick pass complete short left to LeSean McCoy for -6 yards (tackle by Billy Winn),0.670,-0.680
1,14:16,2,16,PHI 20,0,0,Michael Vick pass complete short middle to Brent Celek for 11 yards (tackle by D'Qwell Jackson and Craig Robertson),-0.680,0.100
1,13:33,3,5,PHI 31,0,0,"Michael Vick pass complete short left to LeSean McCoy for 24 yards (tackle by Eric Hagg). Penalty on Jeremy Maclin: Offensive Pass Interference, 10 yards (no play)",0.100,-1.220
1,13:14,3,15,PHI 21,0,0,Michael Vick up the middle for 16 yards (tackle by T.J. Ward),-1.220,1.400
1,12:36,1,10,PHI 37,0,0,Michael Vick pass complete short left to DeSean Jackson for 15 yards (tackle by Joe Haden),1.400,2.390
1,11:58,1,10,CLE 48,0,0,DeSean Jackson right end for 5 yards (tackle by Ahtyba Rubin),2.390,2.520
1,11:18,2,5,CLE 43,0,0,"LeSean McCoy left end for -6 yards (tackle by T.J. Ward). LeSean McCoy fumbles (forced by T.J. Ward), recovered by D'Qwell Jackson at CLE-49 (tackle by Michael Vick)",2.520,-2.190
1,11:10,1,10,CLE 49,0,0,Trent Richardson right guard for 1 yard (tackle by Mychal Kendricks),2.190,1.780
1,10:39,2,9,,0,0,Brandon Weeden pass complete short left to Mohamed Massaquoi for 24 yards (tackle by Kurt Coleman),1.780,3.840
1,10:02,1,10,PHI 26,0,0,Trent Richardson left guard for 1 yard (tackle by Jason Babin),3.840,3.430
1,9:25,2,9,PHI 25,0,0,Brandon Weeden pass incomplete deep right intended for Mohamed Massaquoi,3.430,2.740
1,9:19,3,9,PHI 25,0,0,Brandon Weeden pass incomplete short right intended for Travis Benjamin (defended by Dominique Rodgers-Cromartie),2.740,1.800
1,9:16,4,9,PHI 25,0,3,Phil Dawson 43 yard field goal good,1.800,3.000
1,9:12,,,CLE 35,0,3,"Phil Dawson kicks off 68 yards, returned by Brandon Boykin for 29 yards (tackle by Tashaun Gipson)",0.000,0.670
1,9:07,1,10,PHI 26,0,3,"Michael Vick for no gain. Michael Vick fumbles, recovered by LeSean McCoy at PHI-21",0.670,-0.550
1,8:30,2,15,PHI 21,0,3,LeSean McCoy for 9 yards (tackle by Kaluka Maiava),-0.550,-0.030
1,8:07,3,6,PHI 30,0,3,"Michael Vick pass complete short right to Clay Harbor for 5 yards (tackle by Craig Robertson). Penalty on Billy Winn: Neutral Zone Infraction, 5 yards (no play)",-0.030,0.630
1,7:47,3,1,PHI 35,0,3,Michael Vick pass complete short left to LeSean McCoy for 10 yards (tackle by Sheldon Brown),0.630,1.930
1,7:22,1,10,PHI 45,0,3,"LeSean McCoy left tackle for 3 yards (tackle by Billy Winn). Penalty on Evan Mathis: Offensive Holding, 10 yards (no play)",1.930,1.270
1,7:06,1,20,PHI 35,0,3,LeSean McCoy right guard for 4 yards (tackle by Juqua Parker),1.270,0.570
1,6:29,2,16,PHI 39,0,3,Michael Vick pass complete short right to Jason Avant for 5 yards (tackle by Craig Robertson),0.570,0.560
1,5:42,3,11,PHI 44,0,3,Michael Vick pass complete deep left to DeSean Jackson for 18 yards (tackle by Joe Haden). Penalty on Joe Haden: Defensive Pass Interference (Declined),0.560,3.050
1,5:22,1,10,CLE 38,0,3,Michael Vick sacked by L.J. Fort for -1 yards,3.050,2.370
1,4:46,2,11,CLE 39,0,3,"Michael Vick pass incomplete short middle intended for Jeremy Maclin. Penalty on King Dunlap: Offensive Holding, 10 yards (no play)",2.370,1.020
1,4:41,2,21,CLE 49,0,3,Michael Vick pass incomplete short middle intended for Brent Celek is intercepted by Craig Robertson at CLE-39 and returned for 1 yard (tackle by LeSean McCoy),1.020,-1.600
1,4:32,1,10,CLE 40,0,3,Trent Richardson right tackle for 2 yards (tackle by Mychal Kendricks),1.600,1.320
1,3:53,2,8,CLE 42,0,3,Brandon Weeden pass complete short right to Alex Smith for -1 yards (tackle by Nate Allen),1.320,0.500
1,3:12,3,9,CLE 41,0,3,"Brandon Weeden sacked by Trent Cole for 0 yards. Brandon Weeden fumbles, recovered by Jason Pinkston at CLE-38. Penalty on Jason Babin: Neutral Zone Infraction, 5 yards (no play)",0.500,1.160
1,2:56,3,4,CLE 46,0,3,Brandon Weeden pass complete short left to Ben Watson for 3 yards (tackle by DeMeco Ryans),1.160,-0.130
1,2:14,4,1,CLE 49,0,3,"Reggie Hodges punts 44 yards, fair catch by Damaris Johnson. Penalty on Buster Skrine: Interference with Opportunity to Catch, 15 yards",-0.130,-0.410
1,2:05,1,10,PHI 22,0,3,Michael Vick pass complete short left to Jeremy Maclin for 9 yards (tackle by Sheldon Brown),0.410,1.080
1,1:50,2,1,PHI 31,0,3,LeSean McCoy right guard for 9 yards (tackle by Sheldon Brown and T.J. Ward),1.080,1.600
1,1:18,1,10,PHI 40,0,3,Michael Vick pass complete deep right to DeSean Jackson for 35 yards (tackle by Eric Hagg),1.600,3.910
1,0:47,1,10,CLE 25,0,3,LeSean McCoy left tackle for 2 yards (tackle by Frostee Rucker and D'Qwell Jackson),3.910,3.630
1,0:10,2,8,CLE 23,0,3,Michael Vick pass incomplete short left intended for DeSean Jackson,3.630,2.940
1,0:01,3,8,CLE 23,0,3,Michael Vick pass incomplete deep left intended for DeSean Jackson,2.940,1.930
Quarter,Time,Down,ToGo,Location,PHI,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
