Unnamed: 0,PHI,CLE
First Downs,25,12
Rush-Yds-TDs,30-150-0,22-99-0
Cmp-Att-Yd-TD-INT,29-56-317-2-4,12-35-118-0-4
Sacked-Yards,2-11,2-7
Net Pass Yards,306,111
Total Yards,456,210
Fumbles-Lost,3-1,2-0
Turnovers,5,4
Penalties-Yards,12-110,3-35
Third Down Conv.,8-19,2-13
Fourth Down Conv.,1-1,0-0
Time of Possession,35:58,24:02
