Unnamed: 0,ATL,STL
First Downs,24,15
Rush-Yds-TDs,31-138-1,12-71-0
Cmp-Att-Yd-TD-INT,26-39-253-2-0,27-42-233-2-1
Sacked-Yards,0-0,0-0
Net Pass Yards,253,233
Total Yards,391,304
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,3-30,7-54
Third Down Conv.,9-17,1-10
Fourth Down Conv.,0-0,1-2
Time of Possession,35:55,24:05
