Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Travis Coons kicks off 61 yards, returned by Omar Bolden for 10 yards (tackle by Justin Gilbert)",0.000,0.280
1,14:57,1,10,DEN 14,0,0,C.J. Anderson right tackle for 3 yards (tackle by Desmond Bryant),-0.280,-0.370
1,14:31,2,7,DEN 17,0,0,Peyton Manning pass complete short right to Emmanuel Sanders for 11 yards (tackle by Pierre Desir),-0.370,0.810
1,13:57,1,10,DEN 28,0,0,Ronnie Hillman right guard for 2 yards (tackle by Paul Kruger),0.810,0.530
1,13:25,2,8,DEN 30,0,0,Ronnie Hillman left tackle for 3 yards (tackle by Desmond Bryant),0.530,0.230
1,12:45,3,5,DEN 33,0,0,Peyton Manning pass complete short right to C.J. Anderson for 9 yards (tackle by Christian Kirksey and Barkevious Mingo),0.230,1.730
1,12:12,1,10,DEN 42,0,0,Peyton Manning pass incomplete short middle intended for Emmanuel Sanders is intercepted by Karlos Dansby at CLE-45 and returned for 6 yards,1.730,-2.320
1,12:03,1,10,DEN 49,0,0,Isaiah Crowell right guard for 8 yards (tackle by Danny Trevathan),2.320,2.860
1,11:28,2,2,DEN 41,0,0,Duke Johnson right guard for 4 yards (tackle by Malik Jackson),2.860,3.120
1,10:50,1,10,DEN 37,0,0,Josh McCown pass complete short right to Duke Johnson for 5 yards (tackle by T.J. Ward),3.120,3.250
1,10:21,2,5,DEN 32,0,0,Josh McCown pass incomplete short right intended for Travis Benjamin,3.250,2.540
1,10:18,3,5,DEN 32,0,0,Josh McCown pass incomplete short right intended for Andrew Hawkins,2.540,1.260
1,10:15,4,5,DEN 32,0,0,Josh McCown pass incomplete short middle intended for Gary Barnidge (defended by T.J. Ward),1.260,-1.070
1,10:10,1,10,DEN 32,0,0,Ronnie Hillman left tackle for 2 yards (tackle by John Hughes),1.070,0.800
1,9:54,2,8,DEN 34,0,0,Peyton Manning pass complete short right to Emmanuel Sanders for 11 yards (tackle by Donte Whitner),0.800,1.930
1,9:21,1,10,DEN 45,0,0,Ronnie Hillman right tackle for 7 yards (tackle by Christian Kirksey),1.930,2.330
1,8:57,2,3,CLE 48,0,0,Ronnie Hillman left tackle for 4 yards (tackle by Karlos Dansby and Xavier Cooper),2.330,2.650
1,8:22,1,10,CLE 44,0,0,Peyton Manning pass complete short right to Ronnie Hillman for 1 yard (tackle by Donte Whitner),2.650,2.250
1,7:48,2,9,CLE 43,0,0,C.J. Anderson right tackle for 4 yards (tackle by Karlos Dansby),2.250,2.080
1,7:13,3,5,CLE 39,0,0,Peyton Manning pass complete short middle to Demaryius Thomas for 1 yard (tackle by Tramon Williams and Donte Whitner),2.080,2.080
1,6:26,3,5,CLE 39,0,0,Timeout #1 by Denver Broncos,2.080,0.720
1,6:26,4,4,CLE 38,0,0,Peyton Manning pass complete short right to Demaryius Thomas for 7 yards (tackle by Tramon Williams),0.720,3.510
1,5:52,1,10,CLE 31,0,0,Ronnie Hillman left tackle for 3 yards (tackle by Nate Orchard),3.510,3.370
1,5:19,2,7,CLE 28,0,0,Peyton Manning pass incomplete short left intended for Emmanuel Sanders,3.370,2.680
1,5:16,3,7,CLE 28,0,0,Peyton Manning pass complete deep left to Demaryius Thomas for 17 yards (tackle by Pierre Desir),2.680,4.840
1,4:58,1,10,CLE 11,0,0,C.J. Anderson right guard for 1 yard (tackle by Danny Shelton and Randy Starks),4.840,4.320
1,4:13,2,9,CLE 10,0,0,C.J. Anderson left guard for 1 yard (tackle by Randy Starks and Nate Orchard),4.320,3.530
1,3:35,3,8,CLE 9,0,0,Peyton Manning pass complete short right to Jordan Norwood for -1 yards (tackle by Christian Kirksey and Pierre Desir),3.530,2.760
1,2:53,4,9,CLE 10,3,0,Brandon McManus 29 yard field goal good,2.760,3.000
1,2:53,,,DEN 35,3,0,"Brandon McManus kicks off 56 yards, returned by Shaun Draughn for 10 yards (tackle by Kapri Bibbs)",0.000,-0.150
1,2:49,1,10,CLE 19,3,0,Isaiah Crowell left end for 6 yards (tackle by Darian Stewart),0.150,0.480
1,2:26,2,4,CLE 25,3,0,Josh McCown pass complete short right to Taylor Gabriel for 5 yards (tackle by Danny Trevathan),0.480,0.940
1,2:03,1,10,CLE 30,3,0,Isaiah Crowell right tackle for 2 yards (tackle by Danny Trevathan and Vance Walker),0.940,0.660
1,1:24,2,8,CLE 32,3,0,Josh McCown pass incomplete short left intended for Brian Hartline,0.660,-0.030
1,1:20,3,8,CLE 32,3,0,"Josh McCown sacked by Malik Jackson for 0 yards. Penalty on Malik Jackson: Face Mask (15 Yards), 15 yards (no play)",-0.030,2.060
1,0:52,1,10,CLE 47,3,0,Duke Johnson left end for 4 yards (tackle by Chris Harris),2.060,2.060
1,0:23,2,6,DEN 49,3,0,Josh McCown pass complete short right to Isaiah Crowell for 11 yards (tackle by Danny Trevathan),2.060,3.050
Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 38,3,0,Isaiah Crowell right tackle for -2 yards (tackle by Shaquil Barrett),3.050,2.240
2,14:19,2,12,DEN 40,9,0,"Josh McCown pass incomplete short right intended for Travis Benjamin is intercepted by Aqib Talib at DEN-37 and returned for 63 yards, touchdown",2.240,-7.000
2,14:09,,,CLE 40,10,0,Brandon McManus kicks extra point good,0.000,0.000
2,14:09,,,DEN 35,10,0,"Brandon McManus kicks off 70 yards, returned by Justin Gilbert for 30 yards (tackle by Omar Bolden)",0.000,-0.610
2,14:03,1,10,CLE 25,10,0,Robert Turbin right guard for 6 yards (tackle by Malik Jackson and Kenny Anunike),0.610,0.870
2,13:29,2,4,CLE 31,10,0,Robert Turbin right guard for 3 yards (tackle by T.J. Ward),0.870,0.560
2,12:55,3,1,CLE 34,10,0,Josh McCown middle for 2 yards (tackle by Vance Walker),0.560,1.330
2,12:13,1,10,CLE 36,10,0,Josh McCown pass complete short right to Travis Benjamin for 1 yard (tackle by Danny Trevathan),1.330,0.930
2,11:34,2,9,CLE 37,10,0,Robert Turbin right guard for no gain (tackle by Von Miller and Derek Wolfe),0.930,0.230
2,10:55,3,9,CLE 37,10,0,Josh McCown pass complete short left to Travis Benjamin for 12 yards (tackle by Darian Stewart). Penalty on Antonio Smith: Defensive Offside (Declined),0.230,2.190
2,10:39,1,10,CLE 49,10,0,Duke Johnson left guard for 1 yard (tackle by Danny Trevathan),2.190,1.780
2,10:10,2,9,,10,0,Josh McCown pass incomplete short right intended for Gary Barnidge,1.780,1.090
2,10:05,3,9,,10,0,Josh McCown sacked by Brandon Marshall and Lerentee McCray for -5 yards,1.090,-0.390
2,9:19,4,14,CLE 45,10,0,"Andy Lee punts 42 yards, fair catch by Emmanuel Sanders. Penalty on Johnson Bademosi: Illegal Formation, 5 yards (no play)",-0.390,-0.720
2,9:12,4,19,CLE 40,10,0,"Andy Lee punts 34 yards, out of bounds",-0.720,-0.670
2,9:04,1,10,DEN 26,10,0,Peyton Manning pass incomplete deep right intended for Demaryius Thomas,0.670,0.130
2,8:56,2,10,DEN 26,10,0,Ronnie Hillman left guard for 3 yards (tackle by Christian Kirksey and Karlos Dansby),0.130,-0.160
2,8:16,3,7,DEN 29,10,0,Peyton Manning pass incomplete deep right intended for Cody Latimer,-0.160,-1.440
2,8:11,4,7,DEN 29,10,0,"Britton Colquitt punts 41 yards, returned by Travis Benjamin for 4 yards (tackle by Todd Davis)",-1.440,-1.200
2,8:01,1,10,CLE 34,10,0,Isaiah Crowell left guard for 1 yard (tackle by Derek Wolfe),1.200,0.790
2,7:22,2,9,CLE 35,10,0,Josh McCown pass incomplete short right intended for Andrew Hawkins,0.790,0.100
2,7:19,3,9,CLE 35,10,0,Josh McCown pass incomplete short middle intended for Duke Johnson,0.100,-1.040
2,7:11,4,9,CLE 35,10,0,Andy Lee punts 50 yards,-1.040,0.220
2,7:03,1,10,DEN 15,10,0,C.J. Anderson left tackle for 3 yards (tackle by Karlos Dansby),-0.220,-0.280
2,6:28,2,7,DEN 18,10,0,Peyton Manning pass complete short left to C.J. Anderson for 2 yards (tackle by Tank Carder),-0.280,-0.760
2,5:50,3,5,DEN 20,10,0,Peyton Manning pass incomplete short right intended for Emmanuel Sanders,-0.760,-2.030
2,5:46,4,5,DEN 20,10,0,"Britton Colquitt punts 50 yards, returned by Travis Benjamin for 10 yards",-2.030,-1.600
2,5:37,1,10,CLE 40,10,0,Duke Johnson left tackle for 12 yards (tackle by T.J. Ward),1.600,2.390
2,5:12,1,10,DEN 48,10,0,Duke Johnson right guard for 3 yards (tackle by Brandon Marshall),2.390,2.250
2,4:35,2,7,DEN 45,10,0,Robert Turbin left tackle for 2 yards (tackle by Danny Trevathan),2.250,1.820
2,4:35,3,5,DEN 43,10,0,"Penalty on Duke Johnson: False Start, 5 yards (no play)",1.820,1.160
2,3:35,3,10,DEN 48,10,0,Josh McCown pass incomplete short middle intended for Gary Barnidge,1.160,0.070
2,3:29,4,10,DEN 48,10,0,"Andy Lee punts 28 yards, fair catch by Emmanuel Sanders",0.070,-0.280
2,3:22,1,10,DEN 20,10,0,Ronnie Hillman right tackle for 26 yards (tackle by Donte Whitner),0.280,1.990
2,2:49,1,10,DEN 46,10,0,Ronnie Hillman right tackle for 1 yard (tackle by Christian Kirksey),1.990,1.590
2,2:19,2,9,DEN 47,10,0,Peyton Manning pass complete short left to Andre Caldwell for 12 yards (tackle by Pierre Desir),1.590,2.850
2,2:00,1,10,CLE 41,10,0,Peyton Manning pass incomplete deep right intended for Bennie Fowler,2.850,2.310
2,1:52,2,10,CLE 41,10,0,Ronnie Hillman left guard for 8 yards (tackle by Randy Starks),2.310,2.680
2,1:09,3,2,CLE 33,10,0,Peyton Manning pass complete short left to Ronnie Hillman for no gain,2.680,2.680
2,0:23,3,2,CLE 33,10,0,Timeout #2 by Denver Broncos,2.680,1.200
2,0:22,4,2,CLE 33,10,0,Brandon McManus 51 yard field goal no good,1.200,-1.660
2,0:18,1,10,CLE 41,10,0,Josh McCown pass complete short right to Duke Johnson for 11 yards (tackle by Aqib Talib and David Bruton),1.660,2.390
2,0:09,1,10,DEN 48,10,0,Josh McCown pass complete short left to Duke Johnson for 2 yards (tackle by Chris Harris),2.390,2.390
2,0:01,1,10,DEN 48,10,0,Timeout #1 by Cleveland Browns,2.390,2.120
2,0:01,2,8,DEN 46,10,0,Josh McCown pass incomplete deep right intended for Gary Barnidge (defended by David Bruton),2.120,1.420
Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,10,0,"Brandon McManus kicks off 58 yards, returned by Shaun Draughn for 19 yards (tackle by Darian Stewart)",0.000,0.670
3,14:55,1,10,CLE 26,10,0,Josh McCown pass complete short middle to Gary Barnidge for 14 yards (tackle by T.J. Ward),0.670,1.600
3,14:24,1,10,CLE 40,10,0,Robert Turbin right guard for 6 yards (tackle by Brandon Marshall and Shaquil Barrett),1.600,1.860
3,13:54,2,4,CLE 46,10,0,Robert Turbin right guard for -1 yards (tackle by Malik Jackson),1.860,1.030
3,13:13,3,5,CLE 45,10,0,Josh McCown pass complete deep left to Andrew Hawkins for 25 yards (tackle by Darian Stewart),1.030,3.580
3,12:54,1,10,DEN 30,10,0,Isaiah Crowell right end for 12 yards (tackle by Shaquil Barrett),3.580,4.370
3,12:21,1,10,DEN 18,10,0,"Penalty on Travis Benjamin: False Start, 5 yards (no play)",4.370,4.040
3,11:59,1,15,DEN 23,10,0,Josh McCown pass incomplete deep middle intended for Travis Benjamin (defended by Aqib Talib),4.040,3.150
3,11:53,2,15,DEN 23,10,0,Josh McCown pass complete short right to Travis Benjamin for 12 yards (tackle by Aqib Talib),3.150,4.260
3,11:12,3,3,DEN 11,10,6,"Josh McCown pass complete short right to Gary Barnidge for 11 yards, touchdown",4.260,7.000
3,11:12,,,DEN 11,10,7,Travis Coons kicks extra point good,0.000,0.000
3,11:12,,,CLE 35,10,7,"Travis Coons kicks off 68 yards, returned by Omar Bolden for 27 yards (tackle by Don Jones). Penalty on Todd Davis: Offensive Holding, 10 yards",0.000,0.280
3,11:01,1,10,DEN 14,10,7,Peyton Manning pass incomplete short left intended for Ronnie Hillman,-0.280,-0.750
3,10:57,2,10,DEN 14,10,7,Ronnie Hillman left guard for 10 yards (tackle by Christian Kirksey),-0.750,0.540
3,10:24,1,10,DEN 24,10,7,Ronnie Hillman left guard for 3 yards (tackle by Christian Kirksey),0.540,0.400
3,9:52,2,7,DEN 27,10,7,Ronnie Hillman left tackle for 5 yards (tackle by Pierre Desir),0.400,0.370
