Unnamed: 0,KAN,DEN
First Downs,23,21
Rush-Yds-TDs,26-83-1,38-124-0
Cmp-Att-Yd-TD-INT,26-44-220-1-0,20-34-368-3-0
Sacked-Yards,6-30,5-28
Net Pass Yards,190,340
Total Yards,273,464
Fumbles-Lost,0-0,3-1
Turnovers,0,1
Penalties-Yards,9-71,15-97
Third Down Conv.,5-17,9-20
Fourth Down Conv.,1-1,1-1
Time of Possession,37:39,37:19
