Unnamed: 0,PIT,CIN
First Downs,20,20
Rush-Yds-TDs,47-221-1,19-91-1
Cmp-Att-Yd-TD-INT,9-14-93-2-1,21-36-227-0-2
Sacked-Yards,1-10,2-16
Net Pass Yards,83,211
Total Yards,304,302
Fumbles-Lost,1-1,0-0
Turnovers,2,2
Penalties-Yards,5-65,4-35
Third Down Conv.,4-11,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,35:29,24:31
