Quarter,Time,Tm,Detail,PIT,CIN
1.0,2:37,Bengals,Shayne Graham 26 yard field goal,0,3
2.0,12:15,Steelers,Heath Miller 2 yard pass from Ben Roethlisberger (Jeff Reed kick),7,3
,0:28,Bengals,Shayne Graham 39 yard field goal,7,6
3.0,10:09,Steelers,Jeff Reed 27 yard field goal,10,6
,7:48,Steelers,Willie Parker 37 yard rush (Jeff Reed kick),17,6
,0:00,Steelers,Hines Ward 4 yard pass from Ben Roethlisberger (Jeff Reed kick),24,6
4.0,6:56,Steelers,Jeff Reed 39 yard field goal,27,6
,1:57,Bengals,Carson Palmer 4 yard rush (Shayne Graham kick),27,13
