Quarter,Time,Tm,Detail,PIT,NWE
1.0,10:57,Patriots,Christian Fauria 4 yard pass from Tom Brady (Adam Vinatieri kick),0,7
,4:50,Steelers,Hines Ward 13 yard pass from Kordell Stewart (Todd Peterson kick),7,7
2.0,2:23,Patriots,Adam Vinatieri 45 yard field goal,7,10
3.0,13:27,Patriots,Donald Hayes 40 yard pass from Tom Brady (Adam Vinatieri kick),7,17
,7:03,Patriots,Deion Branch 22 yard pass from Tom Brady (Adam Vinatieri kick),7,24
,2:08,Patriots,Adam Vinatieri 28 yard field goal,7,27
4.0,9:32,Patriots,Adam Vinatieri 27 yard field goal,7,30
,0:00,Steelers,Kordell Stewart 1 yard rush (Todd Peterson kick),14,30
