Quarter,Time,Tm,Detail,MIA,LAC
2.0,14:14,Chargers,Cameron Dicker 33 yard field goal,0,3
,9:49,Chargers,Mike Williams 10 yard pass from Justin Herbert (Cameron Dicker kick),0,10
,8:45,Dolphins,Tyreek Hill fumble recovery in end zone (Jason Sanders kick),7,10
,0:18,Chargers,Austin Ekeler 1 yard rush (Cameron Dicker kick),7,17
3.0,6:23,Dolphins,Tyreek Hill 60 yard pass from Tua Tagovailoa (Jason Sanders kick),14,17
,4:18,Chargers,Cameron Dicker 31 yard field goal,14,20
4.0,2:40,Chargers,Cameron Dicker 28 yard field goal,14,23
,1:10,Dolphins,Jason Sanders 55 yard field goal,17,23
