Quarter,Time,Down,ToGo,Location,CIN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 72 yards, returned by Griff Whalen for 27 yards (tackle by Nico Johnson)",0.000,-0.280
1,14:54,1,10,IND 20,0,0,Andrew Luck pass incomplete short right intended for Dwayne Allen (defended by Carlos Dunlap),0.280,-0.270
1,14:50,2,10,IND 20,0,0,Andrew Luck pass complete short right to T.Y. Hilton for -1 yards (tackle by Leon Hall),-0.270,-1.140
1,14:20,3,11,IND 19,0,0,Andrew Luck pass incomplete short left intended for Dwayne Allen,-1.140,-2.140
1,14:15,4,11,IND 19,0,0,"Pat McAfee punts 47 yards, returned by Adam Jones for 4 yards (tackle by Dwayne Allen). Adam Jones fumbles (forced by Dwayne Allen), ball out of bounds at CIN-37",-2.140,-1.400
1,14:04,1,10,CIN 37,0,0,Andy Dalton pass complete short middle to Jermaine Gresham for -5 yards (tackle by Cory Redding),1.400,0.180
1,13:33,2,15,CIN 32,0,0,Andy Dalton pass complete short left to Cedric Peerman for 5 yards (tackle by Erik Walden),0.180,0.170
1,13:06,3,10,CIN 37,0,0,Andy Dalton pass incomplete,0.170,-0.910
1,13:03,4,10,CIN 37,0,0,"Kevin Huber punts 63 yards, touchback",-0.910,-0.280
1,12:53,1,10,IND 20,0,0,"Penalty on Jayson DiManche: Neutral Zone Infraction, 5 yards (no play)",0.280,1.010
1,12:53,1,5,IND 25,0,0,Trent Richardson left tackle for 1 yard (tackle by Domata Peko and Vontaze Burfict),1.010,0.540
1,12:17,2,4,IND 26,0,0,Andrew Luck pass complete short middle to Dwayne Allen for 9 yards (tackle by Reggie Nelson),0.540,1.270
1,11:36,1,10,IND 35,0,0,Trent Richardson up the middle for 7 yards (tackle by Domata Peko),1.270,1.670
1,11:10,2,3,IND 42,0,0,Andrew Luck pass complete short left to T.Y. Hilton for 6 yards (tackle by Vontaze Burfict and Adam Jones),1.670,2.130
1,10:44,1,10,IND 48,0,0,Andrew Luck pass complete short left to Dwayne Allen for 11 yards (tackle by George Iloka),2.130,2.850
1,10:11,1,10,CIN 41,0,0,Andrew Luck pass incomplete,2.850,2.310
1,10:04,2,10,CIN 41,0,0,Andrew Luck pass incomplete short left intended for T.Y. Hilton,2.310,1.620
1,10:00,3,10,CIN 41,0,0,Andrew Luck pass incomplete short middle intended for Reggie Wayne (defended by Adam Jones),1.620,0.530
1,9:55,4,10,CIN 41,0,0,"Pat McAfee punts 29 yards, fair catch by Brandon Tate",0.530,0.350
1,9:48,1,10,CIN 12,0,0,Giovani Bernard left end for 6 yards (tackle by Mike Adams),-0.350,-0.070
1,9:29,2,4,CIN 18,0,0,Giovani Bernard right end for 1 yard (tackle by Erik Walden and Cory Redding),-0.070,-0.600
1,8:47,3,3,CIN 19,0,0,Andy Dalton pass incomplete short right intended for Jermaine Gresham (defended by Jerrell Freeman),-0.600,-2.140
1,8:43,4,3,CIN 19,0,0,"Kevin Huber punts 51 yards, returned by Griff Whalen for 9 yards (tackle by Cedric Peerman)",-2.140,-1.530
1,8:31,1,10,IND 39,0,0,Andrew Luck pass complete short right to Reggie Wayne for 9 yards (tackle by Vincent Rey),1.530,2.200
1,8:00,2,1,IND 48,0,0,Ahmad Bradshaw left end for 11 yards (tackle by George Iloka),2.200,2.850
1,7:27,1,10,CIN 41,0,0,Andrew Luck pass complete short right to T.Y. Hilton for 6 yards (tackle by Terence Newman),2.850,3.120
1,6:57,2,4,CIN 35,0,0,Andrew Luck pass complete deep middle to T.Y. Hilton for 22 yards (tackle by Leon Hall),3.120,4.710
1,6:34,1,10,CIN 13,0,0,"Penalty on Jack Mewhort: False Start, 5 yards (no play)",4.710,4.290
1,6:34,1,15,CIN 18,0,0,"Ahmad Bradshaw up the middle for 6 yards (tackle by Carlos Dunlap). Ahmad Bradshaw fumbles (forced by Carlos Dunlap), recovered by Adam Jones at CIN-11 (tackle by Ahmad Bradshaw)",4.290,0.370
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
1,6:06,1,10,CIN 11,0,0,Andy Dalton pass complete short right to Jermaine Gresham for 1 yard (tackle by Josh Gordy),-0.370,-0.710
1,5:38,2,9,CIN 12,0,0,Andy Dalton pass incomplete short middle intended for Mohamed Sanu,-0.710,-1.300
1,5:32,3,9,CIN 12,0,0,Andy Dalton pass complete short right to Mohamed Sanu for 8 yards (tackle by Greg Toler),-1.300,-2.030
1,4:57,4,1,CIN 20,0,0,"Kevin Huber punts 53 yards, fair catch by Griff Whalen",-2.030,-0.740
1,4:49,1,10,IND 27,0,0,Trent Richardson right tackle for 5 yards (tackle by Carlos Dunlap and Vontaze Burfict),0.740,0.870
1,4:15,2,5,IND 32,0,0,Trent Richardson right end for 10 yards (tackle by Jayson DiManche and George Iloka),0.870,1.730
1,3:31,1,10,IND 42,0,0,Trent Richardson up the middle for 3 yards (tackle by Vincent Rey),1.730,1.590
1,2:57,2,7,IND 45,0,0,Andrew Luck pass complete short middle to T.Y. Hilton for 14 yards (tackle by Leon Hall),1.590,2.850
1,2:34,1,10,CIN 41,0,0,"Andrew Luck pass incomplete deep left intended for T.Y. Hilton. Penalty on Domata Peko: Illegal Use of Hands, 5 yards (no play)",2.850,3.180
1,2:28,1,10,CIN 36,0,0,Trent Richardson left tackle for 6 yards (tackle by Leon Hall),3.180,3.450
