Quarter,Time,Tm,Detail,TAM,JAX
1.0,9:24,Buccaneers,LeGarrette Blount 1 yard rush (Connor Barth kick),7,0
2.0,14:09,Buccaneers,Josh Freeman 13 yard rush (Connor Barth kick),14,0
,7:36,Jaguars,Colin Cloherty 8 yard fumble return (Josh Scobee kick),14,7
,2:05,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),14,14
,1:53,Jaguars,Nate Collins defensive fumble recovery in end zone (Josh Scobee kick),14,21
,0:04,Jaguars,Maurice Jones-Drew 5 yard pass from Blaine Gabbert (Josh Scobee kick),14,28
4.0,10:22,Jaguars,Maurice Jones-Drew 5 yard pass from Blaine Gabbert (Josh Scobee kick),14,35
,2:31,Jaguars,Maurice Jones-Drew 1 yard rush (run failed),14,41
