Unnamed: 0,TAM,JAX
First Downs,15,21
Rush-Yds-TDs,24-110-2,33-116-2
Cmp-Att-Yd-TD-INT,17-32-184-0-3,19-33-217-2-2
Sacked-Yards,3-14,1-8
Net Pass Yards,170,209
Total Yards,280,325
Fumbles-Lost,6-4,2-0
Turnovers,7,2
Penalties-Yards,12-97,8-80
Third Down Conv.,3-11,5-15
Fourth Down Conv.,1-2,0-0
Time of Possession,27:11,32:49
