Unnamed: 0,IND,TEN
First Downs,22,17
Rush-Yds-TDs,26-158-1,31-96-1
Cmp-Att-Yd-TD-INT,26-49-250-0-2,23-33-224-1-0
Sacked-Yards,2-9,1-9
Net Pass Yards,241,215
Total Yards,399,311
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,10-66,3-40
Third Down Conv.,6-17,7-17
Fourth Down Conv.,0-2,0-0
Time of Possession,28:32,31:28
