Quarter,Time,Tm,Detail,NOR,CLE
1.0,5:59,Browns,Miles Austin 3 yard pass from Brian Hoyer (Billy Cundiff kick),0,7
,0:00,Browns,Billy Cundiff 32 yard field goal,0,10
2.0,5:16,Saints,Shayne Graham 27 yard field goal,3,10
,3:25,Browns,Tashaun Gipson 62 yard interception return (run failed),3,16
,0:03,Saints,Jimmy Graham 9 yard pass from Drew Brees (Shayne Graham kick),10,16
3.0,9:32,Saints,Jimmy Graham 1 yard pass from Drew Brees (Shayne Graham kick),17,16
,3:19,Browns,Terrance West 9 yard rush (Billy Cundiff kick),17,23
4.0,12:12,Saints,Mark Ingram 1 yard rush (Shayne Graham kick),24,23
,0:03,Browns,Billy Cundiff 29 yard field goal,24,26
