Quarter,Time,Down,ToGo,Location,NOR,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Billy Cundiff kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,NOR 20,0,0,Drew Brees pass complete short right to Pierre Thomas for no gain,0.280,-0.270
1,14:21,2,10,NOR 20,0,0,Drew Brees pass incomplete short middle intended for Brandin Cooks,-0.270,-0.960
1,14:17,3,10,NOR 20,0,0,Drew Brees pass complete short left to Brandin Cooks for 1 yard (tackle by Justin Gilbert),-0.960,-1.960
1,13:42,4,9,NOR 21,0,0,"Thomas Morstead punts 44 yards, fair catch by Travis Benjamin",-1.960,-1.270
1,13:35,1,10,CLE 35,0,0,Terrance West right tackle for 4 yards (tackle by Akiem Hicks),1.270,1.260
1,13:00,2,6,CLE 39,0,0,Brian Hoyer pass complete short left to Andrew Hawkins for 10 yards (tackle by Patrick Robinson),1.260,2.190
1,12:35,1,10,CLE 49,0,0,Terrance West right end for 1 yard (tackle by Keenan Lewis),2.190,1.780
1,12:11,2,9,,0,0,Terrance West left guard for 3 yards (tackle by Junior Galette),1.780,1.490
1,11:37,3,6,NOR 47,0,0,Brian Hoyer pass incomplete short right intended for Andrew Hawkins,1.490,0.130
1,11:33,4,6,NOR 47,0,0,"Spencer Lanning punts 39 yards, fair catch by Jairus Byrd",0.130,0.380
1,11:26,1,10,NOR 8,0,0,Drew Brees sacked by Paul Kruger for -7 yards,-0.380,-0.380
1,10:39,1,10,NOR 8,0,0,Timeout #1 by New Orleans Saints,-0.380,-1.290
1,10:38,2,17,NOR 1,0,0,Drew Brees pass complete short left to Mark Ingram for 5 yards (tackle by Karlos Dansby),-1.290,-1.650
1,9:52,3,12,NOR 6,0,0,Drew Brees pass incomplete deep left intended for Kenny Stills,-1.650,-2.490
1,9:47,4,12,NOR 6,0,0,"Thomas Morstead punts 47 yards, returned by Travis Benjamin for 2 yards (tackle by Vinnie Sunseri)",-2.490,-2.190
1,9:35,1,10,CLE 49,0,0,Terrance West left end for 4 yards (tackle by Curtis Lofton),2.190,2.190
1,9:17,2,6,NOR 47,0,0,Brian Hoyer pass complete short left to Terrance West for 11 yards (tackle by Kenny Vaccaro),2.190,3.180
1,8:48,1,10,NOR 36,0,0,Brian Hoyer pass incomplete deep right intended for Jim Dray,3.180,2.640
1,8:39,2,10,NOR 36,0,0,Isaiah Crowell left guard for 3 yards (tackle by Akiem Hicks),2.640,2.350
1,8:09,3,7,NOR 33,0,0,"Brian Hoyer pass incomplete deep left intended for Taylor Gabriel. Penalty on Patrick Robinson: Defensive Pass Interference, 19 yards (no play)",2.350,4.650
1,8:02,1,10,NOR 14,0,0,Brian Hoyer pass incomplete short right intended for Ray Agnew,4.650,4.000
1,8:00,2,10,NOR 14,0,0,Terrance West right guard for -2 yards (tackle by David Hawthorne and Jairus Byrd),4.000,3.000
1,7:22,3,12,NOR 16,0,0,Brian Hoyer pass complete short right to Terrance West for 11 yards (tackle by Kenny Vaccaro),3.000,3.030
1,6:42,4,1,NOR 5,0,0,Terrance West left guard for 2 yards (tackle by David Hawthorne),3.030,6.510
1,6:02,1,3,NOR 3,0,6,"Brian Hoyer pass complete short middle to Miles Austin for 3 yards, touchdown",6.510,7.000
1,6:02,,,NOR 2,0,7,Billy Cundiff kicks extra point good,0.000,0.000
1,6:02,,,CLE 35,0,7,"Billy Cundiff kicks off 69 yards, returned by Travaris Cadet for 16 yards (tackle by K'Waun Williams)",0.000,0.350
1,5:56,1,10,NOR 12,0,7,Mark Ingram right tackle for 6 yards (tackle by Joe Haden),-0.350,-0.070
1,5:29,2,4,NOR 18,0,7,Drew Brees pass complete short right to Mark Ingram for 3 yards (tackle by Joe Haden),-0.070,-0.370
1,5:01,3,1,NOR 21,0,7,Austin Johnson right guard for 2 yards (tackle by Jabaal Sheard and Karlos Dansby),-0.370,0.480
1,4:27,1,10,NOR 23,0,7,Khiry Robinson right guard for 4 yards (tackle by Paul Kruger and Tashaun Gipson),0.480,0.470
1,3:50,2,6,NOR 27,0,7,Drew Brees pass incomplete deep left intended for Brandin Cooks (defended by Joe Haden),0.470,0.470
1,3:45,2,6,NOR 27,0,7,Timeout #2 by New Orleans Saints,0.470,-0.230
1,3:45,3,6,NOR 27,0,7,"Penalty on Terron Armstead: False Start, 5 yards (no play)",-0.230,-0.890
1,3:45,3,11,NOR 22,0,7,Drew Brees pass incomplete short right intended for Brandin Cooks (defended by Jabaal Sheard),-0.890,-1.900
1,3:39,4,11,NOR 22,0,7,"Thomas Morstead punts 36 yards, fair catch by Travis Benjamin",-1.900,-1.730
1,3:31,1,10,CLE 42,0,7,Terrance West left tackle for 15 yards (tackle by Corey White),1.730,2.720
1,3:19,1,10,NOR 43,0,7,Terrance West right guard for -2 yards (tackle by Akiem Hicks),2.720,1.910
1,2:46,2,12,NOR 45,0,7,Brian Hoyer pass incomplete deep left intended for Taylor Gabriel,1.910,1.220
1,2:40,3,12,NOR 45,0,7,Brian Hoyer pass complete short left to Gary Barnidge for 13 yards (tackle by Patrick Robinson),1.220,3.450
1,1:56,1,10,NOR 32,0,7,Brian Hoyer pass incomplete deep right intended for Travis Benjamin,3.450,2.900
1,1:51,2,10,NOR 32,0,7,Isaiah Crowell left end for 6 yards (tackle by David Hawthorne),2.900,3.010
1,1:33,3,4,NOR 26,0,7,Brian Hoyer pass incomplete short left intended for Miles Austin,3.010,1.810
1,1:29,4,4,NOR 26,0,7,"Billy Cundiff 44 yard field goal no good. Penalty on Patrick Robinson: Neutral Zone Infraction, 5 yards (no play)",1.810,4.170
1,1:23,1,10,NOR 21,0,7,Brian Hoyer pass incomplete deep left intended for Andrew Hawkins,4.170,3.630
1,1:18,2,10,NOR 21,0,7,Terrance West right tackle for 2 yards (tackle by Ramon Humber),3.630,3.180
1,0:40,3,8,NOR 19,0,7,Brian Hoyer pass complete short right to Jim Dray for 5 yards (tackle by Kenny Vaccaro),3.180,2.610
1,0:05,4,3,NOR 14,0,10,Billy Cundiff 32 yard field goal good,2.610,3.000
Quarter,Time,Down,ToGo,Location,NOR,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,CLE 35,0,10,"Billy Cundiff kicks off 65 yards, touchback",0.000,0.280
2,15:00,1,10,NOR 20,0,10,Khiry Robinson right tackle for 9 yards (tackle by Joe Haden and Tashaun Gipson),0.280,0.950
2,14:24,2,1,NOR 29,0,10,Khiry Robinson right tackle for 6 yards (tackle by Joe Haden),0.950,1.270
2,13:53,1,10,NOR 35,0,10,Pierre Thomas right guard for 5 yards (tackle by Jabaal Sheard),1.270,1.400
2,13:06,2,5,NOR 40,0,10,Drew Brees pass incomplete short left intended for Robert Meachem (defended by Justin Gilbert),1.400,0.700
2,13:00,3,5,NOR 40,0,10,Drew Brees pass complete short right to Ben Watson for 4 yards (tackle by Tashaun Gipson and Armonty Bryant),0.700,-0.460
2,12:18,4,1,NOR 44,0,10,"Thomas Morstead punts 45 yards, out of bounds",-0.460,0.370
2,12:11,1,10,CLE 11,0,10,Terrance West left tackle for 4 yards (tackle by Tyrunn Walker),-0.370,-0.430
2,11:37,2,6,CLE 15,0,10,Terrance West left guard for 5 yards (tackle by Brodrick Bunkley),-0.430,-0.370
2,11:03,3,1,CLE 20,0,10,Brian Hoyer pass complete short left to Andrew Hawkins for 5 yards (tackle by Corey White),-0.370,0.610
2,10:20,1,10,CLE 25,0,10,Brian Hoyer pass incomplete deep left intended for Travis Benjamin (defended by Patrick Robinson),0.610,0.060
2,10:13,2,10,CLE 25,0,10,Brian Hoyer pass complete short left to Andrew Hawkins for 6 yards (tackle by Kenny Vaccaro),0.060,0.170
2,9:36,3,4,CLE 31,0,10,Brian Hoyer pass complete short right to Isaiah Crowell for 3 yards (tackle by Curtis Lofton and Jairus Byrd),0.170,-1.110
2,8:51,4,1,CLE 34,0,10,"Spencer Lanning punts 48 yards, fair catch by Brandin Cooks",-1.110,-0.040
2,8:44,1,10,NOR 18,0,10,Drew Brees pass complete short left to Pierre Thomas for 11 yards (tackle by Christian Kirksey),0.040,0.870
2,8:18,1,10,NOR 29,0,10,Mark Ingram left end for 26 yards (tackle by Tashaun Gipson),0.870,2.590
2,8:04,1,10,CLE 45,0,10,Brandin Cooks left end for 28 yards (tackle by Buster Skrine),2.590,4.440
2,8:04,1,10,CLE 17,0,10,"Penalty on CLE: Defensive 12 On-field, 5 yards (no play)",4.440,5.520
2,7:12,1,5,CLE 12,0,10,Drew Brees up the middle for 3 yards (tackle by Ahtyba Rubin),5.520,5.290
2,6:33,2,2,CLE 9,0,10,Khiry Robinson left tackle for 1 yard (tackle by Tashaun Gipson),5.290,4.800
2,5:52,3,1,CLE 8,0,10,Drew Brees pass complete short left to Josh Hill for -1 yards (tackle by Karlos Dansby),4.800,4.800
2,5:20,3,1,CLE 8,0,10,Timeout #3 by New Orleans Saints,4.800,2.950
2,5:20,4,2,CLE 9,3,10,Shayne Graham 27 yard field goal good,2.950,3.000
2,5:20,,,NOR 35,3,10,"Thomas Morstead kicks off 65 yards, touchback",0.000,-0.280
2,5:16,1,10,CLE 20,3,10,Brian Hoyer pass incomplete short right intended for Andrew Hawkins,0.280,-0.270
2,5:12,2,10,CLE 20,3,10,Terrance West right guard for 2 yards (tackle by David Hawthorne and Cameron Jordan),-0.270,-0.690
2,4:31,3,8,CLE 22,3,10,Brian Hoyer pass incomplete short right intended for Andrew Hawkins (defended by Cameron Jordan),-0.690,-1.900
2,4:25,4,8,CLE 22,3,10,"Spencer Lanning punts 44 yards, returned by Brandin Cooks for -2 yards (tackle by Johnson Bademosi)",-1.900,-1.070
2,4:12,1,10,NOR 32,3,10,Mark Ingram right end for 12 yards (tackle by Justin Gilbert),1.070,1.860
