Unnamed: 0,NWE,SFO
First Downs,25,12
Rush-Yds-TDs,43-144-2,18-77-0
Cmp-Att-Yd-TD-INT,22-32-259-1-2,14-29-130-3-3
Sacked-Yards,5-26,1-8
Net Pass Yards,233,122
Total Yards,377,199
Fumbles-Lost,1-0,0-0
Turnovers,2,3
Penalties-Yards,4-56,6-37
Third Down Conv.,8-17,1-9
Fourth Down Conv.,1-1,0-2
Time of Possession,39:52,20:08
