Unnamed: 0,GNB,STL
First Downs,24,22
Rush-Yds-TDs,37-152-2,33-149-0
Cmp-Att-Yd-TD-INT,13-23-269-2-0,19-35-187-2-1
Sacked-Yards,2-19,1-0
Net Pass Yards,250,187
Total Yards,402,336
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,6-51,6-40
Third Down Conv.,2-9,4-14
Fourth Down Conv.,0-0,1-2
Time of Possession,30:19,29:41
