Quarter,Time,Down,ToGo,Location,GNB,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 73 yards, returned by Danny Amendola for 42 yards (tackle by Mason Crosby)",0.000,1.530
1,14:53,1,10,STL 39,0,0,Steven Jackson right tackle for -1 yards (tackle by Johnny Jolly and Nick Barnett),1.530,0.850
1,14:20,2,11,STL 38,0,0,Steven Jackson right tackle for 5 yards (tackle by Brandon Chillar),0.850,0.830
1,13:41,3,6,STL 43,0,0,Marc Bulger pass complete short left to Laurent Robinson for 13 yards (tackle by Nick Collins),0.830,2.650
1,13:02,1,10,GNB 44,0,0,Steven Jackson middle for 11 yards (tackle by Charles Woodson),2.650,3.380
1,12:26,1,10,GNB 33,0,0,Steven Jackson left guard for -2 yards (tackle by Ryan Pickett),3.380,2.570
1,11:47,2,12,GNB 35,0,0,Marc Bulger pass complete short right to Randy McMichael for 4 yards (tackle by Brandon Chillar and Tramon Williams),2.570,2.410
1,11:10,3,8,GNB 31,0,0,Marc Bulger pass incomplete short middle intended for Steven Jackson,2.410,1.320
1,11:03,4,8,GNB 31,0,0,"Josh Brown 48 yard field goal no good, blocked by Johnny Jolly, recovered by Will Blackmon and returned for 18 yards",1.320,-1.800
1,10:55,1,10,GNB 43,0,0,Ryan Grant left tackle for 1 yard (tackle by Clifton Ryan),1.800,1.390
1,10:20,2,9,GNB 44,0,0,Ryan Grant right end for 10 yards (tackle by James Hall),1.390,2.520
1,9:50,1,10,STL 46,0,0,Aaron Rodgers pass complete short right to Donald Lee for 2 yards (tackle by Gary Gibson),2.520,2.250
1,9:17,2,8,STL 44,0,0,Ryan Grant right end for no gain (tackle by Will Witherspoon),2.250,1.550
1,8:36,3,8,STL 44,0,0,"Aaron Rodgers pass incomplete short middle intended for Donald Lee. Penalty on James Laurinaitis: Defensive Holding, 5 yards (no play)",1.550,2.980
1,8:29,1,10,STL 39,0,0,Aaron Rodgers pass complete short middle to Donald Driver for 13 yards (tackle by Craig Dahl),2.980,3.840
1,7:54,1,10,STL 26,0,0,Ryan Grant right end for -1 yards (tackle by LaJuan Ramsey),3.840,3.160
1,7:13,2,11,STL 27,0,0,Aaron Rodgers sacked by Leonard Little for -7 yards,3.160,1.550
1,6:38,,,,0,0,Timeout #1 by Green Bay Packers,0.000,1.550
1,6:38,3,18,STL 34,0,0,Aaron Rodgers left end for 4 yards (tackle by Chris Long),1.550,1.410
1,6:03,4,14,STL 30,3,0,Mason Crosby 48 yard field goal good,1.410,3.000
1,,,,GNB 30,3,0,"Mason Crosby kicks off 69 yards, returned by Danny Amendola for 18 yards (tackle by Brady Poppinga)",0.000,0.150
1,5:52,1,10,STL 19,3,0,"Steven Jackson right tackle for 19 yards (tackle by Nick Collins). Penalty on Adam Goldberg: Offensive Holding, 10 yards (no play)",0.150,-0.760
1,5:30,1,20,STL 9,3,0,Steven Jackson right guard for no gain (tackle by Nick Barnett),-0.760,-1.510
1,4:44,2,20,STL 9,3,0,Marc Bulger pass complete short right to Steven Jackson for 6 yards (tackle by Charles Woodson),-1.510,-1.760
1,4:09,3,14,STL 15,3,0,"Marc Bulger sacked by Aaron Kampman for -5 yards. Marc Bulger fumbles (forced by Aaron Kampman), recovered by Johnny Jolly at STL-15 (tackle by Jason Brown)",-1.760,-4.580
1,3:58,1,10,STL 15,3,0,"Aaron Rodgers pass complete short left to Jordy Nelson for 5 yards. Penalty on Craig Dahl: Defensive Holding, 5 yards (no play)",4.580,4.910
1,3:35,1,10,STL 10,3,0,Ryan Grant right tackle for 2 yards (tackle by James Hall),4.910,4.570
1,2:54,2,8,STL 8,3,0,Aaron Rodgers pass incomplete short left intended for Donald Driver,4.570,3.580
1,2:46,3,8,STL 8,3,0,Aaron Rodgers sacked by Leonard Little for -12 yards,3.580,2.120
1,2:19,4,20,STL 20,6,0,Mason Crosby 38 yard field goal good,2.120,3.000
1,,,,GNB 30,6,0,"Mason Crosby kicks off 69 yards, returned by Danny Amendola for 22 yards (tackle by Spencer Havner). Penalty on Chris Chamberlain: Offensive Holding, 10 yards",0.000,-0.370
1,2:08,1,10,STL 11,6,0,"Steven Jackson left guard for 1 yard (tackle by Cullen Jenkins). Steven Jackson fumbles (forced by Cullen Jenkins), recovered by Al Harris at STL-12 (tackle by Alex Barron)",-0.370,-4.780
1,1:57,1,10,STL 12,6,0,Ryan Grant middle for 1 yard (tackle by James Laurinaitis),4.780,4.270
1,1:15,2,9,STL 11,6,0,"Penalty on Josh Sitton: False Start, 5 yards (no play)",4.270,3.530
1,0:57,2,14,STL 16,6,0,Aaron Rodgers pass incomplete deep left intended for Donald Lee,3.530,2.930
1,0:45,3,14,STL 16,6,0,Aaron Rodgers pass complete short left to Donald Lee for 8 yards (tackle by Craig Dahl),2.930,2.960
1,0:11,4,6,STL 8,9,0,Mason Crosby 25 yard field goal good,2.960,3.000
Quarter,Time,Down,ToGo,Location,GNB,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,,,,GNB 30,9,0,"Mason Crosby kicks off 69 yards, returned by Danny Amendola for 22 yards (tackle by Matt Giordano)",0.000,0.480
2,14:55,1,10,STL 23,9,0,Steven Jackson right end for 10 yards (tackle by A.J. Hawk),0.480,1.140
2,14:29,1,10,STL 33,9,0,Steven Jackson middle for 2 yards (tackle by A.J. Hawk),1.140,0.860
2,13:54,2,8,STL 35,9,0,"Kyle Boller pass incomplete short left intended for Laurent Robinson. Penalty on A.J. Hawk: Defensive Holding, 5 yards (no play)",0.860,1.600
2,13:47,1,10,STL 40,9,0,Steven Jackson right end for -2 yards (tackle by Charles Woodson and A.J. Hawk),1.600,0.780
2,13:09,2,12,STL 38,9,0,Kyle Boller pass incomplete short right intended for Laurent Robinson,0.780,0.100
2,13:02,3,12,STL 38,9,0,Kyle Boller pass incomplete short right intended for Steven Jackson (defended by Clay Matthews),0.100,-0.850
2,12:56,4,12,STL 38,9,0,"Donnie Jones punts 62 yards, touchback",-0.850,-0.280
2,12:47,1,10,GNB 20,9,0,Ryan Grant left guard for 4 yards (tackle by Craig Dahl),0.280,0.270
2,12:10,2,6,GNB 24,9,0,Aaron Rodgers pass complete deep left to Donald Driver for 46 yards (tackle by Bradley Fletcher). Penalty on Bradley Fletcher: Defensive Pass Interfere (Declined),0.270,3.580
2,11:47,1,10,STL 30,9,0,Aaron Rodgers pass complete short left to Jordy Nelson for 12 yards (tackle by Bradley Fletcher),3.580,4.370
2,11:05,1,10,STL 18,9,0,Aaron Rodgers for 12 yards (tackle by Craig Dahl),4.370,5.830
2,10:32,1,6,STL 6,9,0,Ryan Grant left guard for 5 yards (tackle by Ronald Bartell),5.830,5.910
2,9:55,2,1,STL 1,15,0,"John Kuhn middle for 1 yard, touchdown",5.910,7.000
2,,,,STL 2,16,0,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,16,0,"Mason Crosby kicks off 69 yards, returned by Danny Amendola for 21 yards (tackle by Desmond Bishop)",0.000,0.410
2,9:42,1,10,STL 22,16,0,Steven Jackson right end for no gain (tackle by Nick Barnett),0.410,-0.130
2,9:09,2,10,STL 22,16,0,Kyle Boller pass incomplete short right intended for Laurent Robinson,-0.130,-0.820
2,9:01,3,10,STL 22,16,0,"Kyle Boller pass complete short left to Laurent Robinson for 13 yards (tackle by Al Harris). Penalty on Charles Woodson: Face Mask (15 Yards), 15 yards",-0.820,2.260
2,8:44,1,10,STL 50,16,0,Steven Jackson left end for 7 yards (tackle by Brandon Chillar),2.260,2.660
