Quarter,Time,Tm,Detail,GNB,STL
1.0,5:57,Packers,Mason Crosby 48 yard field goal,3,0
,2:13,Packers,Mason Crosby 38 yard field goal,6,0
,0:00,Packers,Mason Crosby 25 yard field goal,9,0
2.0,9:48,Packers,John Kuhn 1 yard rush (Mason Crosby kick),16,0
,4:43,Rams,Daniel Fells 16 yard pass from Kyle Boller (Josh Brown kick),16,7
,1:52,Packers,Donald Driver 21 yard pass from Aaron Rodgers (Mason Crosby kick),23,7
,0:02,Rams,Daniel Fells 19 yard pass from Kyle Boller (Josh Brown kick),23,14
3.0,8:23,Rams,Josh Brown 53 yard field goal,23,17
4.0,12:13,Packers,Aaron Rodgers 4 yard rush (Mason Crosby kick failed),29,17
,4:43,Packers,John Kuhn 10 yard pass from Aaron Rodgers (Mason Crosby kick),36,17
