Quarter,Time,Tm,Detail,NWE,MIA
1.0,7:28,Patriots,Martellus Bennett 2 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,3:44,Patriots,Michael Floyd 14 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
2.0,14:56,Patriots,Stephen Gostkowski 40 yard field goal,17,0
,3:21,Patriots,Stephen Gostkowski 26 yard field goal,20,0
,0:28,Dolphins,Jarvis Landry 8 yard pass from Matt Moore (Andrew Franks kick),20,7
3.0,8:39,Dolphins,Kenny Stills 25 yard pass from Matt Moore (Andrew Franks kick),20,14
,6:41,Patriots,Julian Edelman 77 yard pass from Tom Brady (Stephen Gostkowski kick),27,14
4.0,5:33,Patriots,LeGarrette Blount 1 yard rush (Julian Edelman pass from Tom Brady),35,14
