Unnamed: 0,NWE,IND
First Downs,24,25
Rush-Yds-TDs,28-113-1,18-91-1
Cmp-Att-Yd-TD-INT,29-42-375-3-1,28-44-327-4-2
Sacked-Yards,2-11,1-11
Net Pass Yards,364,316
Total Yards,477,407
Fumbles-Lost,3-1,0-0
Turnovers,2,2
Penalties-Yards,4-72,3-20
Third Down Conv.,7-14,5-12
Fourth Down Conv.,0-1,0-0
Time of Possession,35:02,24:58
