Quarter,Time,Tm,Detail,NWE,IND
1.0,8:19,Colts,Joseph Addai 15 yard pass from Peyton Manning (Matt Stover kick),0,7
,4:47,Patriots,Laurence Maroney 1 yard rush (Stephen Gostkowski kick),7,7
2.0,13:15,Patriots,Stephen Gostkowski 31 yard field goal,10,7
,11:18,Patriots,Randy Moss 63 yard pass from Tom Brady (Stephen Gostkowski kick),17,7
,7:19,Patriots,Julian Edelman 9 yard pass from Tom Brady (Stephen Gostkowski kick),24,7
,4:17,Colts,Reggie Wayne 20 yard pass from Peyton Manning (Matt Stover kick),24,14
4.0,14:18,Patriots,Randy Moss 5 yard pass from Tom Brady (Stephen Gostkowski kick),31,14
,12:14,Colts,Pierre Garcon 29 yard pass from Peyton Manning (Matt Stover kick),31,21
,4:12,Patriots,Stephen Gostkowski 36 yard field goal,34,21
,2:23,Colts,Joseph Addai 4 yard rush (Matt Stover kick),34,28
,0:13,Colts,Reggie Wayne 1 yard pass from Peyton Manning (Matt Stover kick),34,35
