Quarter,Time,Down,ToGo,Location,HOU,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"John Carney kicks off 67 yards, returned by Dexter Wynn for 17 yards (tackle by Chad Nkang)",0.000,0.280
1,14:55,1,10,HOU 20,0,0,Matt Schaub for 6 yards (tackle by Clint Ingram),0.280,0.540
1,14:28,2,4,HOU 26,0,0,Matt Schaub pass incomplete short left intended for Owen Daniels (defended by John Henderson),0.540,-0.160
1,14:23,3,4,HOU 26,0,0,Matt Schaub pass complete deep right to Kevin Walter for 46 yards (tackle by Sammy Knight),-0.160,3.710
1,13:52,1,10,JAX 28,0,0,Ahman Green up the middle for 9 yards (tackle by Sammy Knight),3.710,4.420
1,13:20,2,1,JAX 19,0,0,Ahman Green up the middle for 2 yards (tackle by Paul Spicer),4.420,4.440
1,12:43,1,10,JAX 17,0,0,Matt Schaub pass complete short middle to Kevin Walter for 14 yards (tackle by Sammy Knight),4.440,6.510
1,12:02,1,3,JAX 3,0,0,Ahman Green up the middle for -1 yards (tackle by Paul Spicer),6.510,5.340
1,11:22,2,4,JAX 4,0,0,Ahman Green left tackle for 2 yards (tackle by Mike Peterson),5.340,4.950
1,10:50,,,,0,0,Timeout #1 by Houston Texans,0.000,4.950
1,10:50,3,2,JAX 2,0,0,Matt Schaub up the middle for no gain (tackle by John Henderson),4.950,3.250
1,10:29,4,2,JAX 2,3,0,Kris Brown 20 yard field goal good,3.250,3.000
1,,,,HOU 30,3,0,"Kris Brown kicks off 74 yards, returned by Maurice Jones-Drew for 22 yards (tackle by Joel Dreessen)",0.000,0.040
1,10:18,1,10,JAX 18,3,0,David Garrard sacked by Anthony Maddox for -8 yards,0.040,-1.360
1,9:45,2,18,JAX 10,3,0,Fred Taylor up the middle for 76 yards (tackle by Fred Bennett),-1.360,4.650
1,9:06,1,10,HOU 14,3,0,Maurice Jones-Drew up the middle for 1 yard (tackle by Anthony Weaver),4.650,4.160
1,8:27,2,9,HOU 13,3,0,David Garrard pass complete short left to Ernest Wilford for 4 yards (tackle by Morlon Greenwood),4.160,4.050
1,7:43,,,,3,0,Timeout #1 by Jacksonville Jaguars,0.000,4.050
1,7:43,3,5,HOU 9,3,0,David Garrard pass incomplete short left intended for Matt Jones,4.050,2.880
1,7:37,4,5,HOU 9,3,0,"John Carney 27 yard field goal good. Penalty on Maurice Williams: Face Mask (15 Yards), 15 yards (no play)",2.880,1.870
1,7:32,4,20,HOU 24,3,0,John Carney 42 yard field goal no good,1.870,-1.070
1,7:27,1,10,HOU 32,3,0,Ahman Green up the middle for 6 yards (tackle by Paul Spicer),1.070,1.340
1,6:49,2,4,HOU 38,3,0,Ahman Green right end for 4 yards (tackle by Rashean Mathis),1.340,1.730
1,6:20,1,10,HOU 42,3,0,Matt Schaub pass complete deep right to Owen Daniels for 21 yards (tackle by Reggie Nelson),1.730,3.120
1,5:48,1,10,JAX 37,3,0,Samkon Gado left end for 4 yards (tackle by Reggie Nelson),3.120,3.110
1,5:11,2,6,JAX 33,3,0,Matt Schaub pass complete short right to Owen Daniels for 23 yards (tackle by Rashean Mathis),3.110,4.910
1,4:38,1,10,JAX 10,3,0,Matt Schaub pass incomplete short right intended for Kevin Walter,4.910,4.190
1,4:33,2,10,JAX 10,3,0,Matt Schaub pass complete short right to Andre' Davis for 9 yards (tackle by Sammy Knight). Andre' Davis fumbles (forced by Sammy Knight),4.190,-0.280
,,,,,,,"JAX challenged the ruling, and the original play was overturned.",,
1,4:26,1,10,JAX 20,3,0,Fred Taylor up the middle for 1 yard (tackle by DeMeco Ryans),0.280,-0.130
1,3:47,2,9,JAX 21,3,0,David Garrard pass incomplete short right intended for Fred Taylor,-0.130,-0.820
1,3:44,3,9,JAX 21,3,0,"David Garrard pass incomplete deep left intended for Ernest Wilford. Penalty on Dunta Robinson: Defensive Pass Interference, 20 yards (no play)",-0.820,1.660
1,3:36,1,10,JAX 41,3,0,David Garrard left end for 5 yards (tackle by Dunta Robinson),1.660,1.800
1,2:54,2,5,JAX 46,3,0,Fred Taylor up the middle for -3 yards (tackle by Danny Clark),1.800,0.700
1,2:12,3,8,JAX 43,3,0,"David Garrard pass complete short right to Reggie Williams for 5 yards (tackle by Fred Bennett). Reggie Williams fumbles (forced by Fred Bennett), recovered by DeMeco Ryans at JAX-48 (tackle by Marcedes Lewis)",0.700,-2.390
1,2:02,1,10,JAX 48,3,0,Kevin Walter right end for -5 yards (tackle by Rashean Mathis),2.390,1.170
1,1:21,2,15,HOU 47,3,0,Ahman Green left end for 4 yards (tackle by Brian Williams),1.170,1.030
1,0:41,3,11,JAX 49,3,0,Matt Schaub sacked by Terry Cousin for -10 yards,1.030,-0.650
1,0:17,4,21,HOU 41,3,0,Matt Turk punts 56 yards,-0.650,0.380
1,0:03,1,10,JAX 3,3,0,Maurice Jones-Drew up the middle for 5 yards (tackle by DeMeco Ryans),-0.380,-0.420
Quarter,Time,Down,ToGo,Location,HOU,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,JAX 8,3,0,Maurice Jones-Drew left end for 7 yards (tackle by Morlon Greenwood),-0.420,-0.220
2,14:19,1,10,JAX 15,3,0,"David Garrard pass incomplete deep middle intended for Ernest Wilford. Penalty on Ernest Wilford: Offensive Pass Interference, 8 yards (no play)",-0.220,-0.680
2,14:13,1,18,JAX 7,3,0,Maurice Jones-Drew right end for 3 yards (tackle by Danny Clark),-0.680,-1.150
2,13:33,2,15,JAX 10,3,0,Maurice Jones-Drew right end for -2 yards (tackle by Mario Williams),-1.150,-2.240
2,12:51,3,17,JAX 8,3,0,David Garrard pass complete short right to Maurice Jones-Drew for 18 yards (tackle by Fred Bennett),-2.240,0.670
2,12:00,1,10,JAX 26,3,0,"David Garrard pass complete short right to Reggie Williams for 12 yards (tackle by C.C. Brown). Reggie Williams fumbles (forced by C.C. Brown), recovered by Demarcus Faggins at JAX-40 (tackle by Dennis Northcutt)",0.670,-2.920
2,11:50,1,10,JAX 40,3,0,Matt Schaub pass complete short middle to Ahman Green for 4 yards (tackle by Daryl Smith),2.920,2.910
