Unnamed: 0,HOU,JAX
First Downs,23,25
Rush-Yds-TDs,24-61-0,26-244-2
Cmp-Att-Yd-TD-INT,30-43-341-1-1,22-34-221-2-0
Sacked-Yards,2-12,1-8
Net Pass Yards,329,213
Total Yards,390,457
Fumbles-Lost,2-2,3-3
Turnovers,3,3
Penalties-Yards,8-58,3-28
Third Down Conv.,2-10,5-10
Fourth Down Conv.,2-2,2-2
Time of Possession,30:40,29:20
